Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,50_2_2_1,151,1,SATISFIED,0.0067,15804.0,1
InstanceUpperBound,50_2_2_2,151,1,SATISFIED,0.0066,17198.0,1
InstanceUpperBound,50_2_4_11,151,1,SATISFIED,0.0065,27010.0,1
InstanceUpperBound,50_2_4_12,151,1,SATISFIED,0.0066,29206.0,1
InstanceUpperBound,50_2_6_21,151,1,SATISFIED,0.0063,38225.0,1
InstanceUpperBound,50_2_6_22,151,1,SATISFIED,0.0062,41215.0,1
InstanceUpperBound,50_2_8_31,151,1,SATISFIED,0.0062,49431.0,1
InstanceUpperBound,50_2_8_32,151,1,SATISFIED,0.0063,53224.0,1
InstanceUpperBound,50_4_2_41,251,1,SATISFIED,0.0141,22183.0,1
InstanceUpperBound,50_4_2_42,251,1,SATISFIED,0.0141,21569.0,1
InstanceUpperBound,50_4_4_51,251,1,SATISFIED,0.014,34261.0,1
InstanceUpperBound,50_4_4_52,251,1,SATISFIED,0.0133,33110.0,1
InstanceUpperBound,50_4_6_61,251,1,SATISFIED,0.013,46344.0,1
InstanceUpperBound,50_4_6_62,251,1,SATISFIED,0.0123,44650.0,1
InstanceUpperBound,50_4_8_71,251,1,SATISFIED,0.0123,58551.0,1
InstanceUpperBound,50_4_8_72,251,1,SATISFIED,0.013,58427.0,1
InstanceUpperBound,50_6_2_81,351,1,SATISFIED,0.0223,27504.0,1
InstanceUpperBound,50_6_2_82,351,1,SATISFIED,0.0435,27039.0,1
InstanceUpperBound,50_6_4_91,351,1,SATISFIED,0.0411,39917.0,1
InstanceUpperBound,50_6_4_92,351,1,SATISFIED,0.0394,39181.0,1
InstanceUpperBound,50_6_6_102,351,1,SATISFIED,0.0397,51326.0,1
InstanceUpperBound,50_6_6_103,351,1,SATISFIED,0.0397,48467.0,1
InstanceUpperBound,50_6_8_111,351,1,SATISFIED,0.0399,66980.0,1
InstanceUpperBound,50_6_8_112,351,1,SATISFIED,0.0398,64732.0,1
InstanceUpperBound,50_8_2_122,451,1,SATISFIED,0.0617,32120.0,1
InstanceUpperBound,50_8_2_123,451,1,SATISFIED,0.0621,33376.0,1
InstanceUpperBound,50_8_4_131,451,1,SATISFIED,0.0621,44915.0,1
InstanceUpperBound,50_8_4_132,451,1,SATISFIED,0.0621,44468.0,1
InstanceUpperBound,50_8_6_141,451,1,SATISFIED,0.0613,56117.0,1
InstanceUpperBound,50_8_6_142,451,1,SATISFIED,0.0578,56816.0,1
InstanceUpperBound,50_8_8_153,451,1,SATISFIED,0.0546,71967.0,1
InstanceUpperBound,50_8_8_154,451,1,SATISFIED,0.047,69552.0,1
InstanceUpperBound,100_2_4_173,301,1,SATISFIED,0.0307,55639.0,1
