Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,50_2_2_1,151,1,SATISFIED,1.0378,5715.0,4058.0
SAL-Ei-LM,50_2_2_1,151,2,SATISFIED,1.0304,5670.0,4494.0
SAL-Ei-LM,50_2_2_1,151,3,SATISFIED,1.0347,5733.0,7157.0
SAL-Ei-LM,50_2_2_1,151,4,SATISFIED,1.0306,5722.0,7733.0
SAL-Ei-LM,50_2_2_1,151,5,SATISFIED,1.0342,5684.0,4235.0
SAL-Ei-LM,50_2_2_1,151,6,SATISFIED,1.0365,5717.0,4117.0
SAL-Ei-LM,50_2_2_1,151,7,SATISFIED,1.0355,5714.0,4961.0
SAL-Ei-LM,50_2_2_1,151,8,SATISFIED,1.0357,5677.0,4149.0
SAL-Ei-LM,50_2_2_1,151,9,SATISFIED,1.0322,5749.0,4855.0
SAL-Ei-LM,50_2_2_1,151,10,SATISFIED,1.0333,5764.0,7679.0
SAL-Ei-LM,50_2_2_2,151,1,SATISFIED,1.0335,6126.0,6418.0
SAL-Ei-LM,50_2_2_2,151,2,SATISFIED,1.0345,6172.0,4116.0
SAL-Ei-LM,50_2_2_2,151,3,SATISFIED,1.0334,6084.0,5390.0
SAL-Ei-LM,50_2_2_2,151,4,SATISFIED,1.0339,6156.0,7758.0
SAL-Ei-LM,50_2_2_2,151,5,SATISFIED,1.0301,6056.0,7745.0
SAL-Ei-LM,50_2_2_2,151,6,SATISFIED,1.0274,6110.0,7726.0
SAL-Ei-LM,50_2_2_2,151,7,SATISFIED,1.0323,6160.0,7972.0
SAL-Ei-LM,50_2_2_2,151,8,SATISFIED,1.0303,6139.0,8037.0
SAL-Ei-LM,50_2_2_2,151,9,SATISFIED,1.0331,6045.0,7977.0
SAL-Ei-LM,50_2_2_2,151,10,SATISFIED,1.0371,6146.0,5743.0
SAL-Ei-LM,50_2_4_11,151,1,SATISFIED,1.0352,5875.0,4093.0
SAL-Ei-LM,50_2_4_11,151,2,SATISFIED,1.0314,5790.0,6218.0
SAL-Ei-LM,50_2_4_11,151,3,SATISFIED,1.0316,5774.0,7409.0
SAL-Ei-LM,50_2_4_11,151,4,SATISFIED,1.0331,5838.0,7346.0
SAL-Ei-LM,50_2_4_11,151,5,SATISFIED,1.0343,5773.0,5073.0
SAL-Ei-LM,50_2_4_11,151,6,SATISFIED,1.0334,5724.0,4131.0
SAL-Ei-LM,50_2_4_11,151,7,SATISFIED,1.0352,5768.0,6197.0
SAL-Ei-LM,50_2_4_11,151,8,SATISFIED,1.0346,5745.0,7720.0
SAL-Ei-LM,50_2_4_11,151,9,SATISFIED,1.0346,5763.0,7649.0
SAL-Ei-LM,50_2_4_11,151,10,SATISFIED,1.0339,5779.0,7721.0
SAL-Ei-LM,50_2_4_12,151,1,SATISFIED,1.0331,6186.0,7510.0
SAL-Ei-LM,50_2_4_12,151,2,SATISFIED,1.0332,6245.0,7674.0
SAL-Ei-LM,50_2_4_12,151,3,SATISFIED,1.0354,6221.0,7709.0
SAL-Ei-LM,50_2_4_12,151,4,SATISFIED,1.0334,6234.0,7734.0
SAL-Ei-LM,50_2_4_12,151,5,SATISFIED,1.0328,6170.0,7567.0
SAL-Ei-LM,50_2_4_12,151,6,SATISFIED,1.0321,6283.0,7731.0
SAL-Ei-LM,50_2_4_12,151,7,SATISFIED,1.0327,6331.0,7663.0
SAL-Ei-LM,50_2_4_12,151,8,SATISFIED,1.0342,6205.0,4822.0
SAL-Ei-LM,50_2_4_12,151,9,SATISFIED,1.035,6235.0,4063.0
SAL-Ei-LM,50_2_4_12,151,10,SATISFIED,1.031,6241.0,6425.0
SAL-Ei-LM,50_2_6_21,151,1,SATISFIED,1.035,5835.0,7047.0
SAL-Ei-LM,50_2_6_21,151,2,SATISFIED,1.0362,6080.0,3911.0
SAL-Ei-LM,50_2_6_21,151,3,SATISFIED,1.0347,5904.0,4212.0
SAL-Ei-LM,50_2_6_21,151,4,SATISFIED,1.0354,5974.0,3736.0
SAL-Ei-LM,50_2_6_21,151,5,SATISFIED,1.0377,6313.0,3823.0
SAL-Ei-LM,50_2_6_21,151,6,SATISFIED,1.0367,5875.0,4603.0
SAL-Ei-LM,50_2_6_21,151,7,SATISFIED,1.0357,5951.0,7234.0
SAL-Ei-LM,50_2_6_21,151,8,SATISFIED,1.0341,5941.0,7220.0
SAL-Ei-LM,50_2_6_21,151,9,SATISFIED,1.0328,5818.0,7222.0
SAL-Ei-LM,50_2_6_21,151,10,SATISFIED,1.034,5888.0,7221.0
SAL-Ei-LM,50_2_6_22,151,1,SATISFIED,1.0332,6305.0,7207.0
SAL-Ei-LM,50_2_6_22,151,2,SATISFIED,1.034,6417.0,7122.0
SAL-Ei-LM,50_2_6_22,151,3,SATISFIED,1.0342,6255.0,7141.0
SAL-Ei-LM,50_2_6_22,151,4,SATISFIED,1.0337,6366.0,7186.0
SAL-Ei-LM,50_2_6_22,151,5,SATISFIED,1.0338,6426.0,7277.0
SAL-Ei-LM,50_2_6_22,151,6,SATISFIED,1.033,6356.0,7071.0
SAL-Ei-LM,50_2_6_22,151,7,SATISFIED,1.034,6319.0,6806.0
SAL-Ei-LM,50_2_6_22,151,8,SATISFIED,1.0343,6630.0,6914.0
SAL-Ei-LM,50_2_6_22,151,9,SATISFIED,1.0334,6274.0,6962.0
SAL-Ei-LM,50_2_6_22,151,10,SATISFIED,1.0325,6253.0,7214.0
SAL-Ei-LM,50_2_8_31,151,1,SATISFIED,1.0318,6021.0,6508.0
SAL-Ei-LM,50_2_8_31,151,2,SATISFIED,1.0329,6031.0,6925.0
SAL-Ei-LM,50_2_8_31,151,3,SATISFIED,1.0315,6067.0,6856.0
SAL-Ei-LM,50_2_8_31,151,4,SATISFIED,1.0324,6051.0,6875.0
SAL-Ei-LM,50_2_8_31,151,5,SATISFIED,1.0314,6114.0,6634.0
SAL-Ei-LM,50_2_8_31,151,6,SATISFIED,1.0323,6254.0,3732.0
SAL-Ei-LM,50_2_8_31,151,7,SATISFIED,1.0356,6101.0,4001.0
SAL-Ei-LM,50_2_8_31,151,8,SATISFIED,1.0341,6079.0,6398.0
SAL-Ei-LM,50_2_8_31,151,9,SATISFIED,1.0331,5983.0,6849.0
SAL-Ei-LM,50_2_8_31,151,10,SATISFIED,1.0352,6015.0,6893.0
SAL-Ei-LM,50_2_8_32,151,1,SATISFIED,1.0291,6465.0,6838.0
