Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,50_2_2_1,151,1,SATISFIED,5.4552,5664.0,28588.81
SAL-Ei-LM,50_2_2_1,151,2,SATISFIED,5.6659,5661.0,30220.28
SAL-Ei-LM,50_2_2_1,151,3,SATISFIED,5.6377,5692.0,30085.31
SAL-Ei-LM,50_2_2_1,151,4,SATISFIED,5.8534,5662.0,30298.56
SAL-Ei-LM,50_2_2_1,151,5,SATISFIED,5.6305,5668.0,30130.62
SAL-Ei-LM,50_2_2_1,151,6,SATISFIED,5.6535,5655.0,30908.06
SAL-Ei-LM,50_2_2_1,151,7,SATISFIED,5.6541,5658.0,29992.97
SAL-Ei-LM,50_2_2_1,151,8,SATISFIED,5.7757,5658.0,30794.0
SAL-Ei-LM,50_2_2_1,151,9,SATISFIED,5.6118,5663.0,30490.25
SAL-Ei-LM,50_2_2_1,151,10,SATISFIED,5.65,5665.0,31192.91
SAL-Ei-LM,50_2_2_2,151,1,SATISFIED,5.6383,6038.0,31619.06
SAL-Ei-LM,50_2_2_2,151,2,SATISFIED,5.7555,6054.0,31051.72
SAL-Ei-LM,50_2_2_2,151,3,SATISFIED,5.6436,6053.0,31604.5
SAL-Ei-LM,50_2_2_2,151,4,SATISFIED,5.6491,6056.0,31076.66
SAL-Ei-LM,50_2_2_2,151,5,SATISFIED,5.6476,6062.0,31375.72
SAL-Ei-LM,50_2_2_2,151,6,SATISFIED,5.7505,6056.0,31487.53
SAL-Ei-LM,50_2_2_2,151,7,SATISFIED,5.6372,6058.0,30731.16
SAL-Ei-LM,50_2_2_2,151,8,SATISFIED,5.6274,6056.0,30767.81
SAL-Ei-LM,50_2_2_2,151,9,SATISFIED,5.6206,6048.0,31051.81
SAL-Ei-LM,50_2_2_2,151,10,SATISFIED,5.7307,6050.0,32151.09
SAL-Ei-LM,50_2_4_11,151,1,SATISFIED,5.625,5714.0,30081.88
SAL-Ei-LM,50_2_4_11,151,2,SATISFIED,5.6317,5703.0,30784.41
SAL-Ei-LM,50_2_4_11,151,3,SATISFIED,5.6332,5697.0,29573.84
SAL-Ei-LM,50_2_4_11,151,4,SATISFIED,5.7099,5687.0,29990.62
SAL-Ei-LM,50_2_4_11,151,5,SATISFIED,5.6222,5691.0,29813.31
SAL-Ei-LM,50_2_4_11,151,6,SATISFIED,5.6659,5700.0,30311.97
SAL-Ei-LM,50_2_4_11,151,7,SATISFIED,5.6617,5691.0,29208.91
SAL-Ei-LM,50_2_4_11,151,8,SATISFIED,5.7201,5691.0,30050.41
SAL-Ei-LM,50_2_4_11,151,9,SATISFIED,5.652,5711.0,29695.94
SAL-Ei-LM,50_2_4_11,151,10,SATISFIED,5.6521,5684.0,29182.25
SAL-Ei-LM,50_2_4_12,151,1,SATISFIED,5.6503,6100.0,30215.72
SAL-Ei-LM,50_2_4_12,151,2,SATISFIED,5.6838,6095.0,30194.53
SAL-Ei-LM,50_2_4_12,151,3,SATISFIED,5.6338,6076.0,29721.19
SAL-Ei-LM,50_2_4_12,151,4,SATISFIED,5.6352,6083.0,29759.31
SAL-Ei-LM,50_2_4_12,151,5,SATISFIED,5.6542,6067.0,29842.03
SAL-Ei-LM,50_2_4_12,151,6,SATISFIED,5.6969,6098.0,29924.75
SAL-Ei-LM,50_2_4_12,151,7,SATISFIED,5.6244,6092.0,30823.34
SAL-Ei-LM,50_2_4_12,151,8,SATISFIED,5.6432,6083.0,30186.88
SAL-Ei-LM,50_2_4_12,151,9,SATISFIED,5.6396,6099.0,30434.59
SAL-Ei-LM,50_2_4_12,151,10,SATISFIED,5.7082,6094.0,30610.38
SAL-Ei-LM,50_2_6_21,151,1,SATISFIED,5.6373,5749.0,27871.56
SAL-Ei-LM,50_2_6_21,151,2,SATISFIED,5.6425,5772.0,28651.97
SAL-Ei-LM,50_2_6_21,151,3,SATISFIED,5.7521,5701.0,27994.12
SAL-Ei-LM,50_2_6_21,151,4,SATISFIED,5.643,5734.0,28332.31
SAL-Ei-LM,50_2_6_21,151,5,SATISFIED,5.6359,5750.0,28238.28
SAL-Ei-LM,50_2_6_21,151,6,SATISFIED,5.6448,5724.0,28293.84
SAL-Ei-LM,50_2_6_21,151,7,SATISFIED,5.7334,5718.0,29240.53
SAL-Ei-LM,50_2_6_21,151,8,SATISFIED,5.6378,5731.0,27748.91
SAL-Ei-LM,50_2_6_21,151,9,SATISFIED,5.6289,5733.0,28173.69
SAL-Ei-LM,50_2_6_21,151,10,SATISFIED,5.6478,5742.0,29099.03
SAL-Ei-LM,50_2_6_22,151,1,SATISFIED,5.756,6148.0,28558.84
SAL-Ei-LM,50_2_6_22,151,2,SATISFIED,5.6533,6161.0,28451.25
SAL-Ei-LM,50_2_6_22,151,3,SATISFIED,5.6483,6150.0,27859.47
SAL-Ei-LM,50_2_6_22,151,4,SATISFIED,5.6375,6158.0,28034.44
SAL-Ei-LM,50_2_6_22,151,5,SATISFIED,5.7384,6134.0,28955.16
SAL-Ei-LM,50_2_6_22,151,6,SATISFIED,5.6262,6118.0,27606.41
SAL-Ei-LM,50_2_6_22,151,7,SATISFIED,5.6607,6121.0,28435.34
SAL-Ei-LM,50_2_6_22,151,8,SATISFIED,5.4002,6142.0,29594.19
SAL-Ei-LM,50_2_6_22,151,9,SATISFIED,5.7774,6118.0,29070.47
SAL-Ei-LM,50_2_6_22,151,10,SATISFIED,5.6369,6149.0,28705.41
SAL-Ei-LM,50_2_8_31,151,1,SATISFIED,5.645,5825.0,27479.69
SAL-Ei-LM,50_2_8_31,151,2,SATISFIED,5.6468,5810.0,27174.94
SAL-Ei-LM,50_2_8_31,151,3,SATISFIED,5.7199,5821.0,27311.38
SAL-Ei-LM,50_2_8_31,151,4,SATISFIED,5.6349,5784.0,26984.41
SAL-Ei-LM,50_2_8_31,151,5,SATISFIED,5.6432,5812.0,27127.5
SAL-Ei-LM,50_2_8_31,151,6,SATISFIED,5.67,5790.0,27151.97
SAL-Ei-LM,50_2_8_31,151,7,SATISFIED,5.7205,5808.0,27352.19
SAL-Ei-LM,50_2_8_31,151,8,SATISFIED,5.6411,5820.0,27102.34
SAL-Ei-LM,50_2_8_31,151,9,SATISFIED,5.6441,5815.0,26343.94
SAL-Ei-LM,50_2_8_31,151,10,SATISFIED,5.669,5840.0,26941.94
SAL-Ei-LM,50_2_8_32,151,1,SATISFIED,5.7003,6199.0,27736.06
SAL-Ei-LM,50_2_8_32,151,2,SATISFIED,5.6553,6233.0,26899.66
SAL-Ei-LM,50_2_8_32,151,3,SATISFIED,5.664,6164.0,26502.16
SAL-Ei-LM,50_2_8_32,151,4,SATISFIED,5.6615,6242.0,26744.22
SAL-Ei-LM,50_2_8_32,151,5,SATISFIED,5.71,6235.0,27004.22
SAL-Ei-LM,50_2_8_32,151,6,SATISFIED,5.637,6196.0,27415.06
SAL-Ei-LM,50_2_8_32,151,7,SATISFIED,5.3613,6235.0,30550.0
SAL-Ei-LM,50_2_8_32,151,8,SATISFIED,5.6607,6194.0,26816.31
SAL-Ei-LM,50_2_8_32,151,9,SATISFIED,5.795,6213.0,27210.94
SAL-Ei-LM,50_2_8_32,151,10,SATISFIED,5.6469,6204.0,27819.5
SAL-Ei-LM,50_4_2_41,251,1,SATISFIED,6.2244,6141.0,22307.12
SAL-Ei-LM,50_4_2_41,251,2,SATISFIED,6.3486,6134.0,22885.91
SAL-Ei-LM,50_4_2_41,251,3,SATISFIED,6.2035,6131.0,22334.06
SAL-Ei-LM,50_4_2_41,251,4,SATISFIED,6.3011,6134.0,22509.22
SAL-Ei-LM,50_4_2_41,251,5,SATISFIED,5.7079,6132.0,23040.59
SAL-Ei-LM,50_4_2_41,251,6,SATISFIED,6.2401,6144.0,22998.56
SAL-Ei-LM,50_4_2_41,251,7,SATISFIED,6.3618,6138.0,22563.0
SAL-Ei-LM,50_4_2_41,251,8,SATISFIED,6.2194,6145.0,22816.0
SAL-Ei-LM,50_4_2_41,251,9,SATISFIED,6.4207,6141.0,21438.41
SAL-Ei-LM,50_4_2_41,251,10,SATISFIED,6.2032,6149.0,23093.59
SAL-Ei-LM,50_4_2_42,251,1,SATISFIED,6.2228,5871.0,22846.47
SAL-Ei-LM,50_4_2_42,251,2,SATISFIED,6.3561,5853.0,22708.47
SAL-Ei-LM,50_4_2_42,251,3,SATISFIED,6.22,5856.0,22916.31
SAL-Ei-LM,50_4_2_42,251,4,SATISFIED,6.3533,5861.0,23616.25
SAL-Ei-LM,50_4_2_42,251,5,SATISFIED,6.2124,5875.0,22710.5
SAL-Ei-LM,50_4_2_42,251,6,SATISFIED,6.2232,5874.0,23033.22
