Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,50_2_2_1,151,1,SATISFIED,29.2337,5659.0,110774.94
SAL-Ei-LM,50_2_2_1,151,2,SATISFIED,38.2066,5655.0,118825.41
SAL-Ei-LM,50_2_2_1,151,3,SATISFIED,32.752,5670.0,121015.5
SAL-Ei-LM,50_2_2_1,151,4,SATISFIED,35.9637,5666.0,119371.31
SAL-Ei-LM,50_2_2_1,151,5,SATISFIED,26.7094,5668.0,112622.16
SAL-Ei-LM,50_2_2_1,151,6,SATISFIED,33.0936,5666.0,113517.84
SAL-Ei-LM,50_2_2_1,151,7,SATISFIED,29.9065,5659.0,116024.75
SAL-Ei-LM,50_2_2_1,151,8,SATISFIED,33.0387,5663.0,122660.66
SAL-Ei-LM,50_2_2_1,151,9,SATISFIED,32.3695,5658.0,112450.84
SAL-Ei-LM,50_2_2_1,151,10,SATISFIED,34.2682,5662.0,113886.16
SAL-Ei-LM,50_2_2_2,151,1,SATISFIED,31.2548,6050.0,120593.44
SAL-Ei-LM,50_2_2_2,151,2,SATISFIED,38.278,6041.0,117674.97
SAL-Ei-LM,50_2_2_2,151,3,SATISFIED,27.6636,6046.0,124193.75
SAL-Ei-LM,50_2_2_2,151,4,SATISFIED,46.1996,6037.0,123404.53
SAL-Ei-LM,50_2_2_2,151,5,SATISFIED,32.6606,6046.0,120585.72
SAL-Ei-LM,50_2_2_2,151,6,SATISFIED,29.5731,6055.0,112308.28
SAL-Ei-LM,50_2_2_2,151,7,SATISFIED,35.4604,6044.0,120308.59
SAL-Ei-LM,50_2_2_2,151,8,SATISFIED,34.0966,6046.0,120210.53
SAL-Ei-LM,50_2_2_2,151,9,SATISFIED,41.5225,6039.0,126031.97
SAL-Ei-LM,50_2_2_2,151,10,SATISFIED,30.5981,6036.0,127903.34
SAL-Ei-LM,50_2_4_11,151,1,SATISFIED,34.1822,5692.0,138097.09
SAL-Ei-LM,50_2_4_11,151,2,SATISFIED,44.1186,5671.0,124261.66
SAL-Ei-LM,50_2_4_11,151,3,SATISFIED,40.5783,5686.0,125916.62
SAL-Ei-LM,50_2_4_11,151,4,SATISFIED,52.0079,5682.0,131963.09
SAL-Ei-LM,50_2_4_11,151,5,SATISFIED,38.6339,5689.0,135129.09
SAL-Ei-LM,50_2_4_11,151,6,SATISFIED,27.0301,5698.0,119658.88
SAL-Ei-LM,50_2_4_11,151,7,SATISFIED,32.0072,5667.0,121720.97
SAL-Ei-LM,50_2_4_11,151,8,SATISFIED,34.5924,5683.0,131697.16
SAL-Ei-LM,50_2_4_11,151,9,SATISFIED,29.3084,5692.0,117651.12
SAL-Ei-LM,50_2_4_11,151,10,SATISFIED,32.3446,5688.0,126867.81
SAL-Ei-LM,50_2_4_12,151,1,SATISFIED,28.394,6101.0,121218.66
SAL-Ei-LM,50_2_4_12,151,2,SATISFIED,30.5241,6077.0,119630.94
SAL-Ei-LM,50_2_4_12,151,3,SATISFIED,41.9964,6069.0,137500.44
