Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,50_2_2_1,151,1,SATISFIED,39.0184,5651.0,150920.16
SAL-Si-LM,50_2_2_1,151,2,SATISFIED,49.8588,5652.0,162286.12
SAL-Si-LM,50_2_2_1,151,3,SATISFIED,42.7167,5651.0,147865.53
SAL-Si-LM,50_2_2_1,151,4,SATISFIED,39.355,5652.0,157376.0
SAL-Si-LM,50_2_2_1,151,5,SATISFIED,33.9387,5651.0,142654.5
SAL-Si-LM,50_2_2_1,151,6,SATISFIED,49.7909,5653.0,146943.47
SAL-Si-LM,50_2_2_1,151,7,SATISFIED,40.2194,5654.0,145165.97
SAL-Si-LM,50_2_2_1,151,8,SATISFIED,41.2047,5652.0,154713.12
SAL-Si-LM,50_2_2_1,151,9,SATISFIED,45.0172,5651.0,150157.97
SAL-Si-LM,50_2_2_1,151,10,SATISFIED,51.2471,5652.0,151241.94
SAL-Si-LM,50_2_2_2,151,1,SATISFIED,42.2753,6037.0,143625.03
SAL-Si-LM,50_2_2_2,151,2,SATISFIED,39.3353,6035.0,150121.88
SAL-Si-LM,50_2_2_2,151,3,SATISFIED,47.6937,6035.0,156381.31
SAL-Si-LM,50_2_2_2,151,4,SATISFIED,41.58,6035.0,142229.88
SAL-Si-LM,50_2_2_2,151,5,SATISFIED,36.3474,6035.0,147272.78
SAL-Si-LM,50_2_2_2,151,6,SATISFIED,44.7229,6036.0,152769.03
SAL-Si-LM,50_2_2_2,151,7,SATISFIED,36.2632,6036.0,146029.69
SAL-Si-LM,50_2_2_2,151,8,SATISFIED,39.4722,6035.0,142816.72
SAL-Si-LM,50_2_2_2,151,9,SATISFIED,42.2499,6035.0,143105.03
SAL-Si-LM,50_2_2_2,151,10,SATISFIED,37.7799,6037.0,141437.31
SAL-Si-LM,50_2_4_11,151,1,SATISFIED,60.6131,5664.0,198725.94
SAL-Si-LM,50_2_4_11,151,2,SATISFIED,53.5093,5664.0,189486.78
SAL-Si-LM,50_2_4_11,151,3,SATISFIED,48.7711,5665.0,187304.75
SAL-Si-LM,50_2_4_11,151,4,SATISFIED,60.5364,5664.0,188634.84
SAL-Si-LM,50_2_4_11,151,5,SATISFIED,60.6222,5660.0,202234.25
SAL-Si-LM,50_2_4_11,151,6,SATISFIED,60.4332,5661.0,197570.38
SAL-Si-LM,50_2_4_11,151,7,SATISFIED,60.4235,5666.0,206300.34
SAL-Si-LM,50_2_4_11,151,8,SATISFIED,56.5946,5665.0,196597.56
SAL-Si-LM,50_2_4_11,151,9,SATISFIED,60.7113,5660.0,203322.72
SAL-Si-LM,50_2_4_11,151,10,SATISFIED,55.0118,5663.0,190259.44
