Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,bom_deep_6_3_16_4_No1,63,1,SATISFIED,0.0024,4591302.0,1
InstanceUpperBound,bom_deep_6_3_16_4_No2,86,1,SATISFIED,0.0036,13554816.0,1
InstanceUpperBound,bom_deep_6_4_40_15_No1,971,1,SATISFIED,0.2964,153112200.0,1
InstanceUpperBound,bom_deep_6_4_40_15_No2,711,1,SATISFIED,0.142,88599600.0,1
InstanceUpperBound,bom_deep_6_5_10_5_No1,54,1,SATISFIED,0.0017,3971700.0,1
InstanceUpperBound,bom_deep_6_5_10_5_No2,54,1,SATISFIED,0.0016,4607600.0,1
InstanceUpperBound,bom_deep_6_5_20_10_No1,217,1,SATISFIED,0.0143,8015040.0,1
InstanceUpperBound,bom_deep_6_5_20_10_No2,603,1,SATISFIED,0.0785,60328560.0,1
InstanceUpperBound,bom_deep_6_5_30_10_No1,296,1,SATISFIED,0.0193,6913160.0,1
InstanceUpperBound,bom_deep_6_5_30_10_No2,223,1,SATISFIED,0.011,17065408.0,1
InstanceUpperBound,bom_deep_6_5_30_15_No1,54,1,SATISFIED,0.0012,4555600.0,1
InstanceUpperBound,bom_deep_6_5_30_15_No2,54,1,SATISFIED,0.0012,4571200.0,1
InstanceUpperBound,bom_deep_7_3_10_5_No1,50,1,SATISFIED,0.001,2776360.0,1
InstanceUpperBound,bom_deep_7_3_10_5_No2,101,1,SATISFIED,0.0028,587960.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1,58,1,SATISFIED,0.0012,7483800.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No2,167,1,SATISFIED,0.0062,1176580.0,1
InstanceUpperBound,bom_deep_7_4_16_4_No1,476,1,SATISFIED,0.0396,54260295.0,1
InstanceUpperBound,bom_deep_7_4_16_4_No2,122,1,SATISFIED,0.0036,22784904.0,1
InstanceUpperBound,bom_deep_7_5_10_5_No1,229,1,SATISFIED,0.0105,19400400.0,1
InstanceUpperBound,bom_deep_7_5_10_5_No2,229,1,SATISFIED,0.0106,19415600.0,1
InstanceUpperBound,bom_deep_7_5_30_15_No1,151,1,SATISFIED,0.0054,10761400.0,1
InstanceUpperBound,bom_deep_7_5_30_15_No2,151,1,SATISFIED,0.0054,10439900.0,1
InstanceUpperBound,bom_deep_8_3_16_4_No1,61,1,SATISFIED,0.0012,2243994.0,1
InstanceUpperBound,bom_deep_8_3_16_4_No2,43,1,SATISFIED,0.0007,9328624.0,1
InstanceUpperBound,bom_deep_8_3_20_5_No1,58,1,SATISFIED,0.0012,313302.0,1
InstanceUpperBound,bom_deep_8_3_20_5_No2,43,1,SATISFIED,0.0009,377700.0,1
InstanceUpperBound,bom_deep_8_4_40_15_No1,794,1,SATISFIED,0.1094,8978952.0,1
InstanceUpperBound,bom_deep_8_4_40_15_No2,855,1,SATISFIED,0.1248,11279766.0,1
InstanceUpperBound,bom_deep_8_5_10_5_No1,372,1,SATISFIED,0.025,35301400.0,1
InstanceUpperBound,bom_deep_8_5_10_5_No2,372,1,SATISFIED,0.0254,34679300.0,1
InstanceUpperBound,bom_deep_8_5_30_15_No1,140,1,SATISFIED,0.0047,8262900.0,1
InstanceUpperBound,bom_deep_8_5_30_15_No2,140,1,SATISFIED,0.0047,8272000.0,1
InstanceUpperBound,bom_deep_9_3_16_4_No1,10,1,SATISFIED,0.0001,164120.0,1
InstanceUpperBound,bom_deep_9_3_16_4_No2,297,1,SATISFIED,0.0169,274472076.0,1
InstanceUpperBound,bom_deep_9_4_40_15_No1,633,1,SATISFIED,0.0711,7940958.0,1
InstanceUpperBound,bom_deep_9_4_40_15_No2,617,1,SATISFIED,0.0678,8517118.0,1
InstanceUpperBound,bom_deep_9_5_10_5_No1,553,1,SATISFIED,0.0532,23612900.0,1
InstanceUpperBound,bom_deep_9_5_10_5_No2,553,1,SATISFIED,0.0541,22965700.0,1
InstanceUpperBound,bom_deep_9_5_30_15_No1,705,1,SATISFIED,0.0868,36382200.0,1
InstanceUpperBound,bom_deep_9_5_30_15_No2,705,1,SATISFIED,0.0871,35768200.0,1
InstanceUpperBound,bom_deep_10_3_10_5_No1,45,1,SATISFIED,0.0008,290760.0,1
InstanceUpperBound,bom_deep_10_3_10_5_No2,45,1,SATISFIED,0.0008,208320.0,1
InstanceUpperBound,bom_deep_10_3_15_5_No1,45,1,SATISFIED,0.0008,375282.0,1
InstanceUpperBound,bom_deep_10_3_15_5_No2,45,1,SATISFIED,0.0008,334028.0,1
InstanceUpperBound,bom_deep_10_5_10_5_No1,681,1,SATISFIED,0.08,41645300.0,1
InstanceUpperBound,bom_deep_10_5_10_5_No2,681,1,SATISFIED,0.0805,41454000.0,1
InstanceUpperBound,bom_deep_10_5_20_5_No1,5281,1,SATISFIED,5.5916,195024884.0,1
InstanceUpperBound,bom_deep_10_5_20_5_No2,72,1,SATISFIED,0.0018,657082.0,1
InstanceUpperBound,bom_deep_10_5_30_15_No1,922,1,SATISFIED,0.1492,74142700.0,1
InstanceUpperBound,bom_deep_10_5_30_15_No2,922,1,SATISFIED,0.1484,75631100.0,1
letsa-min,bom_deep_6_3_16_4_No1,63,1,SATISFIED,0.0128,1626480.0,1
letsa-min,bom_deep_6_3_16_4_No2,86,1,SATISFIED,0.0232,2294460.0,1
letsa-min,bom_deep_6_4_40_15_No1,971,1,SATISFIED,36.5772,3635000.0,1
letsa-min,bom_deep_6_4_40_15_No2,711,1,SATISFIED,15.1832,2434200.0,1
letsa-min,bom_deep_6_5_10_5_No1,54,1,SATISFIED,0.0087,1152800.0,1
letsa-min,bom_deep_6_5_10_5_No2,54,1,SATISFIED,0.0086,1312500.0,1
letsa-min,bom_deep_6_5_20_10_No1,217,1,SATISFIED,0.2629,760740.0,1
letsa-min,bom_deep_6_5_20_10_No2,603,1,SATISFIED,4.8783,3255472.0,1
letsa-min,bom_deep_6_5_30_10_No1,296,1,SATISFIED,0.6035,424220.0,1
letsa-min,bom_deep_6_5_30_10_No2,223,1,SATISFIED,0.2813,1698864.0,1
letsa-min,bom_deep_6_5_30_15_No1,54,1,SATISFIED,0.0097,1288800.0,1
letsa-min,bom_deep_6_5_30_15_No2,54,1,SATISFIED,0.0106,1375000.0,1
letsa-min,bom_deep_7_3_10_5_No1,50,1,SATISFIED,0.0082,661560.0,1
letsa-min,bom_deep_7_3_10_5_No2,101,1,SATISFIED,0.1183,69160.0,1
letsa-min,bom_deep_7_3_15_5_No1,58,1,SATISFIED,0.0116,1727760.0,1
letsa-min,bom_deep_7_3_15_5_No2,167,1,SATISFIED,0.3762,92060.0,1
letsa-min,bom_deep_7_4_16_4_No1,476,1,SATISFIED,1.5844,6363090.0,1
letsa-min,bom_deep_7_4_16_4_No2,122,1,SATISFIED,0.0678,3207960.0,1
letsa-min,bom_deep_7_5_10_5_No1,229,1,SATISFIED,0.3896,1945500.0,1
letsa-min,bom_deep_7_5_10_5_No2,229,1,SATISFIED,0.6747,1969500.0,1
letsa-min,bom_deep_7_5_30_15_No1,151,1,SATISFIED,0.2277,1555700.0,1
letsa-min,bom_deep_7_5_30_15_No2,151,1,SATISFIED,0.2335,1529800.0,1
letsa-min,bom_deep_8_3_16_4_No1,61,1,SATISFIED,0.0193,699150.0,1
letsa-min,bom_deep_8_3_16_4_No2,43,1,SATISFIED,0.0085,3730860.0,1
letsa-min,bom_deep_8_3_20_5_No1,58,1,SATISFIED,0.0185,44454.0,1
letsa-min,bom_deep_8_3_20_5_No2,43,1,SATISFIED,0.0087,82611.0,1
letsa-min,bom_deep_8_4_40_15_No1,794,1,SATISFIED,14.7723,209566.0,1
letsa-min,bom_deep_8_4_40_15_No2,855,1,SATISFIED,19.7334,260478.0,1
letsa-min,bom_deep_8_5_10_5_No1,372,1,SATISFIED,1.4269,3339500.0,1
letsa-min,bom_deep_8_5_10_5_No2,372,1,SATISFIED,1.2244,3272400.0,1
letsa-min,bom_deep_8_5_30_15_No1,140,1,SATISFIED,0.0587,2053700.0,1
letsa-min,bom_deep_8_5_30_15_No2,140,1,SATISFIED,0.1875,2032400.0,1
letsa-min,bom_deep_9_3_16_4_No1,10,1,SATISFIED,0.0005,159000.0,1
letsa-min,bom_deep_9_3_16_4_No2,297,1,SATISFIED,0.3593,31266500.0,1
letsa-min,bom_deep_9_4_40_15_No1,633,1,SATISFIED,4.0698,196152.0,1
letsa-min,bom_deep_9_4_40_15_No2,617,1,SATISFIED,5.5702,250704.0,1
letsa-min,bom_deep_9_5_10_5_No1,553,1,SATISFIED,2.9268,2336700.0,1
letsa-min,bom_deep_9_5_10_5_No2,553,1,SATISFIED,2.5156,2298700.0,1
letsa-min,bom_deep_9_5_30_15_No1,705,1,SATISFIED,6.0787,1961900.0,1
letsa-min,bom_deep_9_5_30_15_No2,705,1,SATISFIED,6.3423,1939200.0,1
letsa-min,bom_deep_10_3_10_5_No1,45,1,SATISFIED,0.01,88800.0,1
letsa-min,bom_deep_10_3_10_5_No2,45,1,SATISFIED,0.0097,91200.0,1
letsa-min,bom_deep_10_3_15_5_No1,45,1,SATISFIED,0.0099,95056.0,1
letsa-min,bom_deep_10_3_15_5_No2,45,1,SATISFIED,0.0097,81034.0,1
letsa-min,bom_deep_10_5_10_5_No1,681,1,SATISFIED,4.1221,5590500.0,1
letsa-min,bom_deep_10_5_10_5_No2,681,1,SATISFIED,3.8905,5493500.0,1
letsa-min,bom_deep_10_5_20_5_No1,5281,1,SATISFIED,2030.0196,9232319.0,1
letsa-min,bom_deep_10_5_20_5_No2,72,1,SATISFIED,0.0125,124798.0,1
letsa-min,bom_deep_10_5_30_15_No1,922,1,SATISFIED,13.4031,4640700.0,1
letsa-min,bom_deep_10_5_30_15_No2,922,1,SATISFIED,8.6566,4782100.0,1
letsa-max,bom_deep_6_3_16_4_No1,63,1,SATISFIED,0.0123,1626480.0,1
letsa-max,bom_deep_6_3_16_4_No2,86,1,SATISFIED,0.0261,2294460.0,1
letsa-max,bom_deep_6_4_40_15_No1,971,1,SATISFIED,37.1881,3698600.0,1
letsa-max,bom_deep_6_4_40_15_No2,711,1,SATISFIED,12.5272,2443400.0,1
letsa-max,bom_deep_6_5_10_5_No1,54,1,SATISFIED,0.0088,1152800.0,1
letsa-max,bom_deep_6_5_10_5_No2,54,1,SATISFIED,0.0086,1312500.0,1
letsa-max,bom_deep_6_5_20_10_No1,217,1,SATISFIED,0.262,760740.0,1
letsa-max,bom_deep_6_5_20_10_No2,603,1,SATISFIED,4.1039,3255472.0,1
letsa-max,bom_deep_6_5_30_10_No1,296,1,SATISFIED,0.5984,424220.0,1
letsa-max,bom_deep_6_5_30_10_No2,223,1,SATISFIED,0.2748,1698864.0,1
letsa-max,bom_deep_6_5_30_15_No1,54,1,SATISFIED,0.0102,1288800.0,1
letsa-max,bom_deep_6_5_30_15_No2,54,1,SATISFIED,0.0099,1375000.0,1
letsa-max,bom_deep_7_3_10_5_No1,50,1,SATISFIED,0.008,661560.0,1
letsa-max,bom_deep_7_3_10_5_No2,101,1,SATISFIED,0.1173,69160.0,1
letsa-max,bom_deep_7_3_15_5_No1,58,1,SATISFIED,0.0112,1727760.0,1
letsa-max,bom_deep_7_3_15_5_No2,167,1,SATISFIED,0.371,92060.0,1
letsa-max,bom_deep_7_4_16_4_No1,476,1,SATISFIED,1.5868,6363090.0,1
letsa-max,bom_deep_7_4_16_4_No2,122,1,SATISFIED,0.0686,3207960.0,1
letsa-max,bom_deep_7_5_10_5_No1,229,1,SATISFIED,0.3988,2011500.0,1
letsa-max,bom_deep_7_5_10_5_No2,229,1,SATISFIED,0.3981,2009100.0,1
letsa-max,bom_deep_7_5_30_15_No1,151,1,SATISFIED,0.1283,1555700.0,1
letsa-max,bom_deep_7_5_30_15_No2,151,1,SATISFIED,0.1249,1529800.0,1
letsa-max,bom_deep_8_3_16_4_No1,61,1,SATISFIED,0.0106,699150.0,1
letsa-max,bom_deep_8_3_16_4_No2,43,1,SATISFIED,0.0047,3730860.0,1
letsa-max,bom_deep_8_3_20_5_No1,58,1,SATISFIED,0.0135,44454.0,1
letsa-max,bom_deep_8_3_20_5_No2,43,1,SATISFIED,0.0055,82611.0,1
letsa-max,bom_deep_8_4_40_15_No1,794,1,SATISFIED,14.7932,210738.0,1
letsa-max,bom_deep_8_4_40_15_No2,855,1,SATISFIED,19.3355,266062.0,1
letsa-max,bom_deep_8_5_10_5_No1,372,1,SATISFIED,1.6946,3325400.0,1
letsa-max,bom_deep_8_5_10_5_No2,372,1,SATISFIED,1.5648,3271200.0,1
letsa-max,bom_deep_8_5_30_15_No1,140,1,SATISFIED,0.1066,2053700.0,1
letsa-max,bom_deep_8_5_30_15_No2,140,1,SATISFIED,0.1074,2032400.0,1
letsa-max,bom_deep_9_3_16_4_No1,10,1,SATISFIED,0.0009,159000.0,1
letsa-max,bom_deep_9_3_16_4_No2,297,1,SATISFIED,0.6152,31266500.0,1
letsa-max,bom_deep_9_4_40_15_No1,633,1,SATISFIED,5.63,197980.0,1
letsa-max,bom_deep_9_4_40_15_No2,617,1,SATISFIED,5.6017,250704.0,1
letsa-max,bom_deep_9_5_10_5_No1,553,1,SATISFIED,2.5831,2350000.0,1
letsa-max,bom_deep_9_5_10_5_No2,553,1,SATISFIED,2.7576,2304400.0,1
letsa-max,bom_deep_9_5_30_15_No1,705,1,SATISFIED,5.0775,1961900.0,1
letsa-max,bom_deep_9_5_30_15_No2,705,1,SATISFIED,5.1306,1939200.0,1
letsa-max,bom_deep_10_3_10_5_No1,45,1,SATISFIED,0.0102,88800.0,1
letsa-max,bom_deep_10_3_10_5_No2,45,1,SATISFIED,0.0103,91200.0,1
letsa-max,bom_deep_10_3_15_5_No1,45,1,SATISFIED,0.01,95056.0,1
letsa-max,bom_deep_10_3_15_5_No2,45,1,SATISFIED,0.0099,81034.0,1
letsa-max,bom_deep_10_5_10_5_No1,681,1,SATISFIED,6.8997,5590500.0,1
letsa-max,bom_deep_10_5_10_5_No2,681,1,SATISFIED,5.457,5493500.0,1
letsa-max,bom_deep_10_5_20_5_No1,5281,1,SATISFIED,2120.5442,9244754.0,1
letsa-max,bom_deep_10_5_20_5_No2,72,1,SATISFIED,0.0129,116218.0,1
letsa-max,bom_deep_10_5_30_15_No1,922,1,SATISFIED,8.9951,4640700.0,1
letsa-max,bom_deep_10_5_30_15_No2,922,1,SATISFIED,9.0976,4782100.0,1
letsa-avg,bom_deep_6_3_16_4_No1,63,1,SATISFIED,0.0184,1626480.0,1
letsa-avg,bom_deep_6_3_16_4_No2,86,1,SATISFIED,0.0313,2294460.0,1
letsa-avg,bom_deep_6_4_40_15_No1,971,1,SATISFIED,36.0036,3647000.0,1
letsa-avg,bom_deep_6_4_40_15_No2,711,1,SATISFIED,14.2874,2434200.0,1
letsa-avg,bom_deep_6_5_10_5_No1,54,1,SATISFIED,0.0128,1152800.0,1
letsa-avg,bom_deep_6_5_10_5_No2,54,1,SATISFIED,0.0124,1312500.0,1
letsa-avg,bom_deep_6_5_20_10_No1,217,1,SATISFIED,0.34,760740.0,1
letsa-avg,bom_deep_6_5_20_10_No2,603,1,SATISFIED,5.649,3255472.0,1
letsa-avg,bom_deep_6_5_30_10_No1,296,1,SATISFIED,0.8504,424220.0,1
letsa-avg,bom_deep_6_5_30_10_No2,223,1,SATISFIED,0.344,1698864.0,1
letsa-avg,bom_deep_6_5_30_15_No1,54,1,SATISFIED,0.0131,1288800.0,1
letsa-avg,bom_deep_6_5_30_15_No2,54,1,SATISFIED,0.0135,1375000.0,1
letsa-avg,bom_deep_7_3_10_5_No1,50,1,SATISFIED,0.0109,661560.0,1
letsa-avg,bom_deep_7_3_10_5_No2,101,1,SATISFIED,0.1416,69160.0,1
letsa-avg,bom_deep_7_3_15_5_No1,58,1,SATISFIED,0.0156,1727760.0,1
letsa-avg,bom_deep_7_3_15_5_No2,167,1,SATISFIED,0.4386,92060.0,1
letsa-avg,bom_deep_7_4_16_4_No1,476,1,SATISFIED,1.8612,6363090.0,1
letsa-avg,bom_deep_7_4_16_4_No2,122,1,SATISFIED,0.0884,3207960.0,1
letsa-avg,bom_deep_7_5_10_5_No1,229,1,SATISFIED,0.4747,1945500.0,1
letsa-avg,bom_deep_7_5_10_5_No2,229,1,SATISFIED,0.4795,1969500.0,1
letsa-avg,bom_deep_7_5_30_15_No1,151,1,SATISFIED,0.3109,1555700.0,1
letsa-avg,bom_deep_7_5_30_15_No2,151,1,SATISFIED,0.2897,1529800.0,1
letsa-avg,bom_deep_8_3_16_4_No1,61,1,SATISFIED,0.0268,699150.0,1
letsa-avg,bom_deep_8_3_16_4_No2,43,1,SATISFIED,0.0115,3730860.0,1
letsa-avg,bom_deep_8_3_20_5_No1,58,1,SATISFIED,0.0281,44454.0,1
letsa-avg,bom_deep_8_3_20_5_No2,43,1,SATISFIED,0.0142,82611.0,1
letsa-avg,bom_deep_8_4_40_15_No1,794,1,SATISFIED,18.1946,208594.0,1
letsa-avg,bom_deep_8_4_40_15_No2,855,1,SATISFIED,19.3817,264814.0,1
letsa-avg,bom_deep_8_5_10_5_No1,372,1,SATISFIED,1.0579,3328000.0,1
letsa-avg,bom_deep_8_5_10_5_No2,372,1,SATISFIED,1.0547,3268000.0,1
letsa-avg,bom_deep_8_5_30_15_No1,140,1,SATISFIED,0.0755,2053700.0,1
letsa-avg,bom_deep_8_5_30_15_No2,140,1,SATISFIED,0.0755,2032400.0,1
letsa-avg,bom_deep_9_3_16_4_No1,10,1,SATISFIED,0.0007,159000.0,1
letsa-avg,bom_deep_9_3_16_4_No2,297,1,SATISFIED,0.4441,31266500.0,1
letsa-avg,bom_deep_9_4_40_15_No1,633,1,SATISFIED,4.7162,213576.0,1
letsa-avg,bom_deep_9_4_40_15_No2,617,1,SATISFIED,5.0497,250704.0,1
letsa-avg,bom_deep_9_5_10_5_No1,553,1,SATISFIED,2.8917,2350000.0,1
letsa-avg,bom_deep_9_5_10_5_No2,553,1,SATISFIED,2.9051,2298700.0,1
letsa-avg,bom_deep_9_5_30_15_No1,705,1,SATISFIED,5.5615,1961900.0,1
letsa-avg,bom_deep_9_5_30_15_No2,705,1,SATISFIED,6.5032,1939200.0,1
letsa-avg,bom_deep_10_3_10_5_No1,45,1,SATISFIED,0.0073,88800.0,1
letsa-avg,bom_deep_10_3_10_5_No2,45,1,SATISFIED,0.0071,91200.0,1
letsa-avg,bom_deep_10_3_15_5_No1,45,1,SATISFIED,0.0072,95056.0,1
letsa-avg,bom_deep_10_3_15_5_No2,45,1,SATISFIED,0.0071,81034.0,1
letsa-avg,bom_deep_10_5_10_5_No1,681,1,SATISFIED,4.4079,5574800.0,1
letsa-avg,bom_deep_10_5_10_5_No2,681,1,SATISFIED,4.4382,5493500.0,1
letsa-avg,bom_deep_10_5_20_5_No1,5281,1,SATISFIED,2049.8886,9232775.0,1
letsa-avg,bom_deep_10_5_20_5_No2,72,1,SATISFIED,0.0162,116218.0,1
letsa-avg,bom_deep_10_5_30_15_No1,922,1,SATISFIED,9.7989,4640700.0,1
