Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,1,SATISFIED,1.023,855795.0,4419.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,2,SATISFIED,1.0209,932175.0,4813.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,3,SATISFIED,1.0215,947775.0,4599.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,4,SATISFIED,1.0209,916845.0,4939.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,5,SATISFIED,1.0207,875736.0,5432.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,6,SATISFIED,1.0213,880425.0,4341.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,7,SATISFIED,1.0221,878670.0,4367.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,8,SATISFIED,1.0225,948681.0,5086.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,9,SATISFIED,1.022,826005.0,7806.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,10,SATISFIED,1.0227,898590.0,8123.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,1,SATISFIED,1.0201,1826415.0,7132.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,2,SATISFIED,1.0221,1778130.0,7470.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,3,SATISFIED,1.0247,1637730.0,7197.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,4,SATISFIED,1.0255,1740435.0,7534.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,5,SATISFIED,1.0259,1779420.0,3908.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,6,SATISFIED,1.0235,1760670.0,3804.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,7,SATISFIED,1.0245,1691520.0,3857.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,8,SATISFIED,1.026,1689270.0,3783.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,9,SATISFIED,1.0269,1591770.0,4064.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,10,SATISFIED,1.0246,1717755.0,3903.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,1,SATISFIED,1.415,6925728.0,469.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,2,SATISFIED,1.4176,7873770.0,465.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,3,SATISFIED,1.4175,7954338.0,471.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,4,SATISFIED,1.418,7694493.0,482.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,5,SATISFIED,1.4167,7935590.0,476.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,6,SATISFIED,1.4112,7704464.0,451.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,7,SATISFIED,1.4229,8915737.0,465.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,8,SATISFIED,1.5271,7373280.0,471.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,9,SATISFIED,1.4206,7553122.0,469.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,10,SATISFIED,1.4201,7286113.0,484.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,1,SATISFIED,1.2433,4476287.0,714.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,2,SATISFIED,1.2502,4319728.0,744.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,3,SATISFIED,1.2498,4750820.0,701.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,4,SATISFIED,1.2509,4740841.0,707.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,5,SATISFIED,1.249,4857473.0,754.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,6,SATISFIED,1.2436,4095105.0,747.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,7,SATISFIED,1.2437,5078646.0,777.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,8,SATISFIED,1.2538,3839040.0,784.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,9,SATISFIED,1.2498,4322536.0,825.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,10,SATISFIED,1.2414,4640186.0,693.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,1,SATISFIED,1.0213,813202.0,4215.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,2,SATISFIED,1.0209,806063.0,5244.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,3,SATISFIED,1.0179,811970.0,8071.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,4,SATISFIED,1.0163,793045.0,8218.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,5,SATISFIED,1.0179,816077.0,4358.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,6,SATISFIED,1.0181,802645.0,4659.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,7,SATISFIED,1.0181,800726.0,4216.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,8,SATISFIED,1.0184,813620.0,4942.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,9,SATISFIED,1.0178,779477.0,7794.0
SAL-Ei-LM,bom_deep_6_5_10_5_No1,54,10,SATISFIED,1.0221,807125.0,4424.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,1,SATISFIED,1.0221,673090.0,4446.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,2,SATISFIED,1.0194,674319.0,5859.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,3,SATISFIED,1.0177,698525.0,8535.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,4,SATISFIED,1.0195,694286.0,8654.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,5,SATISFIED,1.0216,674852.0,8685.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,6,SATISFIED,1.0193,661460.0,7569.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,7,SATISFIED,1.0195,667684.0,4348.0
SAL-Ei-LM,bom_deep_6_5_10_5_No2,54,8,SATISFIED,1.0198,650663.0,4261.0
