Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,1,SATISFIED,5.0182,900570.0,40436.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,2,SATISFIED,5.022,903405.0,41364.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,3,SATISFIED,5.0182,856635.0,42133.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,4,SATISFIED,5.0165,883530.0,36021.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,5,SATISFIED,5.0216,879975.0,39224.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,6,SATISFIED,5.0212,924570.0,41197.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,7,SATISFIED,5.0176,938475.0,42735.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,8,SATISFIED,5.0176,864340.0,41522.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,9,SATISFIED,5.0186,849201.0,41456.0
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,10,SATISFIED,5.019,864960.0,30198.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,1,SATISFIED,5.0222,1724385.0,33740.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,2,SATISFIED,5.0233,1793310.0,26389.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,3,SATISFIED,5.0199,1795920.0,35693.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,4,SATISFIED,5.0207,1705365.0,38124.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,5,SATISFIED,5.0201,1754265.0,37651.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,6,SATISFIED,5.0198,1613325.0,37532.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,7,SATISFIED,5.02,1600515.0,38039.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,8,SATISFIED,5.022,1739280.0,38028.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,9,SATISFIED,5.0214,1660440.0,38214.0
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,10,SATISFIED,5.0195,1637970.0,38307.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,1,SATISFIED,5.239,4910041.0,4207.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,2,SATISFIED,5.2503,5350628.0,3021.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,3,SATISFIED,5.4121,5181493.0,3548.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,4,SATISFIED,5.4163,5346484.0,3384.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,5,SATISFIED,5.4055,5390639.0,3644.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,6,SATISFIED,5.416,5117732.0,3988.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,7,SATISFIED,5.2362,4691685.0,4142.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,8,SATISFIED,5.3077,5151953.0,4162.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,9,SATISFIED,5.2477,5037989.0,4213.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,10,SATISFIED,5.4409,5041466.0,3785.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,1,SATISFIED,5.2439,2840003.0,5346.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,2,SATISFIED,5.2613,2726028.0,6042.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,3,SATISFIED,5.2607,2825188.0,6111.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,4,SATISFIED,5.2749,2901522.0,6083.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,5,SATISFIED,5.2549,2777180.0,6047.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,6,SATISFIED,5.2488,3024469.0,4813.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,7,SATISFIED,5.2411,2799822.0,5992.0
SAL-Ei-LM,bom_deep_6_4_40_15_No2,711,8,SATISFIED,5.2527,2921928.0,6064.0
