Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,1,SATISFIED,18.6549,820140.0,104673.72
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,2,SATISFIED,18.15,811101.0,105335.75
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,3,SATISFIED,18.8629,812355.0,104465.94
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,4,SATISFIED,17.2103,809430.0,105122.22
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,5,SATISFIED,16.8053,813900.0,104910.06
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,6,SATISFIED,15.9746,814860.0,104754.16
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,7,SATISFIED,16.1842,814935.0,104379.19
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,8,SATISFIED,16.0909,810465.0,104366.66
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,9,SATISFIED,16.9416,816300.0,104444.16
SAL-Ei-LM,bom_deep_6_3_16_4_No1,63,10,SATISFIED,16.4967,809151.0,104626.94
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,1,SATISFIED,19.4914,1599450.0,107511.34
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,2,SATISFIED,23.4196,1596750.0,111992.72
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,3,SATISFIED,20.754,1597830.0,107534.34
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,4,SATISFIED,25.7332,1593390.0,108273.06
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,5,SATISFIED,24.1743,1601070.0,107103.62
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,6,SATISFIED,30.4504,1590345.0,116452.28
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,7,SATISFIED,22.3886,1604205.0,110779.81
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,8,SATISFIED,21.5903,1591695.0,107845.97
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,9,SATISFIED,28.3238,1586460.0,110015.12
SAL-Ei-LM,bom_deep_6_3_16_4_No2,86,10,SATISFIED,35.9682,1604895.0,115646.34
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,1,SATISFIED,67.4653,3650090.0,40749.97
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,2,SATISFIED,67.8547,3636395.0,40708.0
SAL-Ei-LM,bom_deep_6_4_40_15_No1,971,3,SATISFIED,68.1496,3650053.0,41067.44
