Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,1,SATISFIED,24.9766,817326.0,109440.12
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,2,SATISFIED,20.2785,810390.0,107065.75
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,3,SATISFIED,21.5178,809880.0,105920.75
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,4,SATISFIED,20.8363,810666.0,104946.41
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,5,SATISFIED,22.0522,834261.0,105433.97
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,6,SATISFIED,19.9728,810866.0,105532.03
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,7,SATISFIED,19.9825,815280.0,105923.03
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,8,SATISFIED,20.006,820596.0,104708.47
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,9,SATISFIED,21.2626,808725.0,105023.06
SAL-Si-LM,bom_deep_6_3_16_4_No1,63,10,SATISFIED,18.5122,808890.0,105479.22
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,1,SATISFIED,34.0619,1595850.0,121593.25
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,2,SATISFIED,32.8599,1599075.0,128642.84
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,3,SATISFIED,38.911,1599735.0,120578.0
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,4,SATISFIED,33.3406,1607145.0,113322.62
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,5,SATISFIED,31.24,1601835.0,116182.34
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,6,SATISFIED,39.2352,1591500.0,118861.5
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,7,SATISFIED,34.2544,1602735.0,120566.88
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,8,SATISFIED,26.8658,1620630.0,110660.12
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,9,SATISFIED,31.9423,1598190.0,121859.62
SAL-Si-LM,bom_deep_6_3_16_4_No2,86,10,SATISFIED,27.4793,1596240.0,112216.28
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,1,SATISFIED,67.4813,3660673.0,41188.19
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,2,SATISFIED,68.7483,3652362.0,40767.62
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,3,SATISFIED,68.0007,3673640.0,40789.06
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,4,SATISFIED,67.5256,3663905.0,40517.81
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,5,SATISFIED,67.7255,3669336.0,40734.28
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,6,SATISFIED,67.5665,3658323.0,40725.75
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,7,SATISFIED,67.5277,3662717.0,40664.91
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,8,SATISFIED,67.3495,3669229.0,41302.84
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,9,SATISFIED,67.6819,3662387.0,41334.72
SAL-Si-LM,bom_deep_6_4_40_15_No1,971,10,SATISFIED,67.8268,3670178.0,40598.09
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,1,SATISFIED,64.3605,2272282.0,59947.91
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,2,SATISFIED,65.8273,2252880.0,59560.97
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,3,SATISFIED,64.5234,2241134.0,60177.88
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,4,SATISFIED,64.3958,2281518.0,61102.47
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,5,SATISFIED,65.2202,2223463.0,61644.66
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,6,SATISFIED,64.588,2260300.0,60733.56
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,7,SATISFIED,64.3584,2244178.0,61044.69
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,8,SATISFIED,64.7271,2278154.0,61089.16
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,9,SATISFIED,64.5243,2284140.0,59936.72
SAL-Si-LM,bom_deep_6_4_40_15_No2,711,10,SATISFIED,64.3276,2267397.0,61443.72
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,1,SATISFIED,24.0079,785758.0,117617.0
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,2,SATISFIED,28.5616,789450.0,122471.03
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,3,SATISFIED,33.6303,785863.0,117344.03
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,4,SATISFIED,29.6241,789712.0,123006.94
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,5,SATISFIED,22.8767,792705.0,116740.0
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,6,SATISFIED,27.3104,784752.0,116334.03
SAL-Si-LM,bom_deep_6_5_10_5_No1,54,7,SATISFIED,28.2504,780559.0,116521.16
