Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,la01.fjs,51,1,SATISFIED,0.0014,2849.0,1
InstanceUpperBound,la02.fjs,51,1,SATISFIED,0.0014,2643.0,1
InstanceUpperBound,la03.fjs,51,1,SATISFIED,0.0013,2383.0,1
InstanceUpperBound,la04.fjs,51,1,SATISFIED,0.0013,2507.0,1
InstanceUpperBound,la05.fjs,51,1,SATISFIED,0.0013,2283.0,1
InstanceUpperBound,la06.fjs,76,1,SATISFIED,0.0023,3992.0,1
InstanceUpperBound,la07.fjs,76,1,SATISFIED,0.0022,3745.0,1
InstanceUpperBound,la08.fjs,76,1,SATISFIED,0.0022,3825.0,1
InstanceUpperBound,la09.fjs,76,1,SATISFIED,0.0022,4263.0,1
InstanceUpperBound,la10.fjs,76,1,SATISFIED,0.0022,4020.0,1
InstanceUpperBound,la11.fjs,101,1,SATISFIED,0.0033,5351.0,1
InstanceUpperBound,la12.fjs,101,1,SATISFIED,0.0033,4676.0,1
InstanceUpperBound,la13.fjs,101,1,SATISFIED,0.0033,5186.0,1
InstanceUpperBound,la14.fjs,101,1,SATISFIED,0.0033,5346.0,1
InstanceUpperBound,la15.fjs,101,1,SATISFIED,0.0033,5445.0,1
InstanceUpperBound,la16.fjs,101,1,SATISFIED,0.0034,5351.0,1
InstanceUpperBound,la17.fjs,101,1,SATISFIED,0.0033,4676.0,1
InstanceUpperBound,la18.fjs,101,1,SATISFIED,0.0032,5186.0,1
InstanceUpperBound,la19.fjs,101,1,SATISFIED,0.0031,5346.0,1
InstanceUpperBound,la20.fjs,101,1,SATISFIED,0.0031,5445.0,1
InstanceUpperBound,la21.fjs,151,1,SATISFIED,0.0055,7994.0,1
InstanceUpperBound,la22.fjs,151,1,SATISFIED,0.0052,7322.0,1
InstanceUpperBound,la23.fjs,151,1,SATISFIED,0.0052,8085.0,1
InstanceUpperBound,la24.fjs,151,1,SATISFIED,0.0051,7727.0,1
InstanceUpperBound,la25.fjs,151,1,SATISFIED,0.0051,7509.0,1
InstanceUpperBound,la26.fjs,201,1,SATISFIED,0.0082,10515.0,1
InstanceUpperBound,la27.fjs,201,1,SATISFIED,0.0082,10832.0,1
InstanceUpperBound,la28.fjs,201,1,SATISFIED,0.0082,10682.0,1
InstanceUpperBound,la29.fjs,201,1,SATISFIED,0.0084,9929.0,1
InstanceUpperBound,la30.fjs,201,1,SATISFIED,0.008,10680.0,1
InstanceUpperBound,la31.fjs,301,1,SATISFIED,0.0163,15191.0,1
InstanceUpperBound,la32.fjs,301,1,SATISFIED,0.0165,16569.0,1
InstanceUpperBound,la33.fjs,301,1,SATISFIED,0.0166,14969.0,1
InstanceUpperBound,la34.fjs,301,1,SATISFIED,0.0166,15341.0,1
