Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,la01.fjs,51,1,SATISFIED,5.0176,577.0,41542.0
SAL-Ei-LM,la01.fjs,51,2,SATISFIED,5.0168,574.0,41694.0
SAL-Ei-LM,la01.fjs,51,3,SATISFIED,5.0177,580.0,41697.0
SAL-Ei-LM,la01.fjs,51,4,SATISFIED,5.0193,587.0,41657.0
SAL-Ei-LM,la01.fjs,51,5,SATISFIED,5.0164,577.0,41316.0
SAL-Ei-LM,la01.fjs,51,6,SATISFIED,5.0172,576.0,41729.0
SAL-Ei-LM,la01.fjs,51,7,SATISFIED,5.0183,577.0,42169.0
SAL-Ei-LM,la01.fjs,51,8,SATISFIED,5.0188,579.0,41053.0
SAL-Ei-LM,la01.fjs,51,9,SATISFIED,5.0196,578.0,41506.0
SAL-Ei-LM,la01.fjs,51,10,SATISFIED,5.0179,586.0,42037.0
SAL-Ei-LM,la02.fjs,51,1,SATISFIED,5.0178,534.0,41869.0
SAL-Ei-LM,la02.fjs,51,2,SATISFIED,5.0174,542.0,42426.0
SAL-Ei-LM,la02.fjs,51,3,SATISFIED,5.0172,535.0,41829.0
SAL-Ei-LM,la02.fjs,51,4,SATISFIED,5.016,547.0,42035.0
SAL-Ei-LM,la02.fjs,51,5,SATISFIED,5.0157,542.0,42228.0
SAL-Ei-LM,la02.fjs,51,6,SATISFIED,5.0187,538.0,41709.0
SAL-Ei-LM,la02.fjs,51,7,SATISFIED,5.0172,538.0,42244.0
SAL-Ei-LM,la02.fjs,51,8,SATISFIED,5.0155,535.0,41298.0
SAL-Ei-LM,la02.fjs,51,9,SATISFIED,5.017,539.0,41862.0
SAL-Ei-LM,la02.fjs,51,10,SATISFIED,5.019,538.0,40677.0
SAL-Ei-LM,la03.fjs,51,1,SATISFIED,5.0201,485.0,38106.0
SAL-Ei-LM,la03.fjs,51,2,SATISFIED,5.0187,480.0,36512.0
SAL-Ei-LM,la03.fjs,51,3,SATISFIED,5.0205,486.0,32743.0
SAL-Ei-LM,la03.fjs,51,4,SATISFIED,5.0189,484.0,40907.0
SAL-Ei-LM,la03.fjs,51,5,SATISFIED,5.0173,484.0,41882.0
SAL-Ei-LM,la03.fjs,51,6,SATISFIED,5.0181,481.0,41272.0
SAL-Ei-LM,la03.fjs,51,7,SATISFIED,5.017,483.0,40952.0
SAL-Ei-LM,la03.fjs,51,8,SATISFIED,5.0171,488.0,40673.0
SAL-Ei-LM,la03.fjs,51,9,SATISFIED,5.0182,486.0,39829.0
SAL-Ei-LM,la03.fjs,51,10,SATISFIED,5.0157,482.0,40792.0
SAL-Ei-LM,la04.fjs,51,1,SATISFIED,5.0166,518.0,41892.0
SAL-Ei-LM,la04.fjs,51,2,SATISFIED,5.018,517.0,42044.0
SAL-Ei-LM,la04.fjs,51,3,SATISFIED,5.0202,505.0,40178.0
SAL-Ei-LM,la04.fjs,51,4,SATISFIED,5.0222,506.0,36288.0
