Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,la01.fjs,51,1,SATISFIED,5.2566,573.0,29416.22
SAL-Ei-LM,la01.fjs,51,2,SATISFIED,5.2554,573.0,34682.09
SAL-Ei-LM,la01.fjs,51,3,SATISFIED,5.262,573.0,34488.84
SAL-Ei-LM,la01.fjs,51,4,SATISFIED,5.2516,574.0,34461.91
SAL-Ei-LM,la01.fjs,51,5,SATISFIED,5.241,572.0,35106.69
SAL-Ei-LM,la01.fjs,51,6,SATISFIED,5.2496,576.0,34543.62
SAL-Ei-LM,la01.fjs,51,7,SATISFIED,5.2668,573.0,35344.38
SAL-Ei-LM,la01.fjs,51,8,SATISFIED,5.2447,573.0,35913.06
SAL-Ei-LM,la01.fjs,51,9,SATISFIED,5.2418,573.0,35258.59
SAL-Ei-LM,la01.fjs,51,10,SATISFIED,5.3205,572.0,35909.5
SAL-Ei-LM,la02.fjs,51,1,SATISFIED,5.2486,532.0,34378.12
SAL-Ei-LM,la02.fjs,51,2,SATISFIED,5.2573,531.0,35215.59
SAL-Ei-LM,la02.fjs,51,3,SATISFIED,5.2339,533.0,35718.06
SAL-Ei-LM,la02.fjs,51,4,SATISFIED,5.1393,532.0,34431.03
SAL-Ei-LM,la02.fjs,51,5,SATISFIED,5.298,532.0,35142.16
SAL-Ei-LM,la02.fjs,51,6,SATISFIED,5.2602,533.0,34973.62
SAL-Ei-LM,la02.fjs,51,7,SATISFIED,5.245,531.0,35450.84
SAL-Ei-LM,la02.fjs,51,8,SATISFIED,5.2656,533.0,34362.41
SAL-Ei-LM,la02.fjs,51,9,SATISFIED,5.2684,533.0,35315.88
SAL-Ei-LM,la02.fjs,51,10,SATISFIED,5.36,531.0,35486.31
SAL-Ei-LM,la03.fjs,51,1,SATISFIED,5.2581,482.0,35010.44
SAL-Ei-LM,la03.fjs,51,2,SATISFIED,5.2763,480.0,33411.44
SAL-Ei-LM,la03.fjs,51,3,SATISFIED,5.263,479.0,34349.53
SAL-Ei-LM,la03.fjs,51,4,SATISFIED,5.2543,480.0,35432.38
SAL-Ei-LM,la03.fjs,51,5,SATISFIED,5.2308,481.0,35692.34
SAL-Ei-LM,la03.fjs,51,6,SATISFIED,5.2404,481.0,36565.66
SAL-Ei-LM,la03.fjs,51,7,SATISFIED,5.242,479.0,35687.12
SAL-Ei-LM,la03.fjs,51,8,SATISFIED,5.2537,479.0,35837.47
SAL-Ei-LM,la03.fjs,51,9,SATISFIED,5.2551,480.0,35704.38
SAL-Ei-LM,la03.fjs,51,10,SATISFIED,5.2781,482.0,36667.38
SAL-Ei-LM,la04.fjs,51,1,SATISFIED,5.237,504.0,36148.53
SAL-Ei-LM,la04.fjs,51,2,SATISFIED,5.2503,504.0,37314.84
SAL-Ei-LM,la04.fjs,51,3,SATISFIED,5.2442,503.0,36588.28
SAL-Ei-LM,la04.fjs,51,4,SATISFIED,5.1529,503.0,37578.88
SAL-Ei-LM,la04.fjs,51,5,SATISFIED,5.2401,505.0,37710.19
SAL-Ei-LM,la04.fjs,51,6,SATISFIED,5.2484,504.0,36469.0
SAL-Ei-LM,la04.fjs,51,7,SATISFIED,5.2533,504.0,36241.66
SAL-Ei-LM,la04.fjs,51,8,SATISFIED,5.2422,503.0,35691.53
SAL-Ei-LM,la04.fjs,51,9,SATISFIED,5.2483,504.0,36553.59
SAL-Ei-LM,la04.fjs,51,10,SATISFIED,5.2881,504.0,36243.44
SAL-Ei-LM,la05.fjs,51,1,SATISFIED,5.2407,458.0,37172.66
SAL-Ei-LM,la05.fjs,51,2,SATISFIED,5.2508,465.0,37435.97
SAL-Ei-LM,la05.fjs,51,3,SATISFIED,5.2462,461.0,38607.78
SAL-Ei-LM,la05.fjs,51,4,SATISFIED,5.2383,460.0,38868.5
SAL-Ei-LM,la05.fjs,51,5,SATISFIED,5.2241,462.0,37155.03
