Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,la01.fjs,51,1,SATISFIED,29.3703,574.0,121172.94
SAL-Ei-LM,la01.fjs,51,2,SATISFIED,25.073,574.0,119897.06
SAL-Ei-LM,la01.fjs,51,3,SATISFIED,40.547,573.0,121299.12
SAL-Ei-LM,la01.fjs,51,4,SATISFIED,30.5015,573.0,120132.88
SAL-Ei-LM,la01.fjs,51,5,SATISFIED,27.2565,574.0,129652.5
SAL-Ei-LM,la01.fjs,51,6,SATISFIED,29.7989,573.0,127497.59
SAL-Ei-LM,la01.fjs,51,7,SATISFIED,27.0003,573.0,130262.97
SAL-Ei-LM,la01.fjs,51,8,SATISFIED,32.493,573.0,123510.66
SAL-Ei-LM,la01.fjs,51,9,SATISFIED,29.6425,572.0,122270.31
SAL-Ei-LM,la01.fjs,51,10,SATISFIED,24.4169,573.0,119486.16
SAL-Ei-LM,la02.fjs,51,1,SATISFIED,35.2122,533.0,121546.84
SAL-Ei-LM,la02.fjs,51,2,SATISFIED,28.498,532.0,121030.34
SAL-Ei-LM,la02.fjs,51,3,SATISFIED,29.6137,533.0,123033.44
SAL-Ei-LM,la02.fjs,51,4,SATISFIED,29.0517,531.0,121007.53
SAL-Ei-LM,la02.fjs,51,5,SATISFIED,31.646,532.0,125639.56
SAL-Ei-LM,la02.fjs,51,6,SATISFIED,34.7025,532.0,128496.94
SAL-Ei-LM,la02.fjs,51,7,SATISFIED,33.2321,532.0,129286.22
SAL-Ei-LM,la02.fjs,51,8,SATISFIED,30.5927,532.0,123738.28
SAL-Ei-LM,la02.fjs,51,9,SATISFIED,28.6362,531.0,115162.56
SAL-Ei-LM,la02.fjs,51,10,SATISFIED,32.0214,533.0,125195.16
SAL-Ei-LM,la03.fjs,51,1,SATISFIED,37.1276,479.0,135313.28
SAL-Ei-LM,la03.fjs,51,2,SATISFIED,34.0298,481.0,134924.94
SAL-Ei-LM,la03.fjs,51,3,SATISFIED,29.889,479.0,135072.88
SAL-Ei-LM,la03.fjs,51,4,SATISFIED,25.0255,480.0,127698.97
SAL-Ei-LM,la03.fjs,51,5,SATISFIED,25.9017,481.0,121850.25
SAL-Ei-LM,la03.fjs,51,6,SATISFIED,24.9495,479.0,124428.66
SAL-Ei-LM,la03.fjs,51,7,SATISFIED,54.6744,481.0,145224.66
SAL-Ei-LM,la03.fjs,51,8,SATISFIED,39.1437,480.0,132443.81
SAL-Ei-LM,la03.fjs,51,9,SATISFIED,30.1096,480.0,131425.59
SAL-Ei-LM,la03.fjs,51,10,SATISFIED,33.1162,480.0,131878.12
