Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,la01.fjs,51,1,SATISFIED,45.0078,573.0,130604.22
SAL-Si-LM,la01.fjs,51,2,SATISFIED,42.6859,575.0,146503.22
SAL-Si-LM,la01.fjs,51,3,SATISFIED,36.8227,575.0,141867.69
SAL-Si-LM,la01.fjs,51,4,SATISFIED,34.3111,574.0,130183.69
SAL-Si-LM,la01.fjs,51,5,SATISFIED,43.7337,572.0,153575.09
SAL-Si-LM,la01.fjs,51,6,SATISFIED,47.8815,575.0,142709.25
SAL-Si-LM,la01.fjs,51,7,SATISFIED,39.5867,573.0,138475.75
SAL-Si-LM,la01.fjs,51,8,SATISFIED,34.3442,573.0,137619.53
SAL-Si-LM,la01.fjs,51,9,SATISFIED,34.506,573.0,133223.81
SAL-Si-LM,la01.fjs,51,10,SATISFIED,41.3401,574.0,152966.09
SAL-Si-LM,la02.fjs,51,1,SATISFIED,38.5399,532.0,133143.16
SAL-Si-LM,la02.fjs,51,2,SATISFIED,56.6107,531.0,147723.78
SAL-Si-LM,la02.fjs,51,3,SATISFIED,35.2699,533.0,135875.09
SAL-Si-LM,la02.fjs,51,4,SATISFIED,33.5929,532.0,140676.31
SAL-Si-LM,la02.fjs,51,5,SATISFIED,45.2615,532.0,134784.81
SAL-Si-LM,la02.fjs,51,6,SATISFIED,34.9079,531.0,141116.62
SAL-Si-LM,la02.fjs,51,7,SATISFIED,35.0442,533.0,132666.47
SAL-Si-LM,la02.fjs,51,8,SATISFIED,31.7833,532.0,139450.0
SAL-Si-LM,la02.fjs,51,9,SATISFIED,31.8369,532.0,136263.97
SAL-Si-LM,la02.fjs,51,10,SATISFIED,41.0508,532.0,148445.12
SAL-Si-LM,la03.fjs,51,1,SATISFIED,29.3905,480.0,138257.5
SAL-Si-LM,la03.fjs,51,2,SATISFIED,36.0632,480.0,150738.56
SAL-Si-LM,la03.fjs,51,3,SATISFIED,33.3688,479.0,141616.28
SAL-Si-LM,la03.fjs,51,4,SATISFIED,32.582,482.0,138682.38
SAL-Si-LM,la03.fjs,51,5,SATISFIED,32.7249,480.0,143299.69
SAL-Si-LM,la03.fjs,51,6,SATISFIED,43.5542,478.0,154566.22
SAL-Si-LM,la03.fjs,51,7,SATISFIED,38.9045,481.0,151258.56
SAL-Si-LM,la03.fjs,51,8,SATISFIED,39.4744,481.0,145517.78
SAL-Si-LM,la03.fjs,51,9,SATISFIED,42.0506,480.0,146561.88
SAL-Si-LM,la03.fjs,51,10,SATISFIED,40.4755,480.0,149521.69
SAL-Si-LM,la04.fjs,51,1,SATISFIED,46.7342,503.0,144943.97
SAL-Si-LM,la04.fjs,51,2,SATISFIED,37.7415,505.0,135737.22
SAL-Si-LM,la04.fjs,51,3,SATISFIED,42.8341,503.0,152980.38
SAL-Si-LM,la04.fjs,51,4,SATISFIED,34.7067,504.0,141973.03
SAL-Si-LM,la04.fjs,51,5,SATISFIED,43.1088,504.0,137821.66
SAL-Si-LM,la04.fjs,51,6,SATISFIED,35.1486,503.0,139456.84
