Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,1,SATISFIED,0.0028,613942614.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,1,SATISFIED,0.0024,684992370.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,1,SATISFIED,0.0024,469054992.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,1,SATISFIED,0.0023,1107615838.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,1,SATISFIED,0.0023,462730596.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,1,SATISFIED,0.0024,946318704.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,1,SATISFIED,0.0023,886919852.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,1,SATISFIED,0.0023,441250059.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,1,SATISFIED,0.0023,480888177.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_4,63,1,SATISFIED,0.0023,433065507.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_5,63,1,SATISFIED,0.0023,1271214441.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2,63,1,SATISFIED,0.0023,962757803.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m10_ao63_am10_1,63,1,SATISFIED,0.0022,631730532.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m10_ao63_am10_2,63,1,SATISFIED,0.0022,1006601400.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m10_ao63_am10_3,63,1,SATISFIED,0.0022,344193636.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m10_ao63_am10_4,63,1,SATISFIED,0.0022,468521914.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m10_ao63_am10_5,63,1,SATISFIED,0.0022,904259182.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m25_ao63_am25_1,63,1,SATISFIED,0.0024,882277906.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m25_ao63_am25_2,63,1,SATISFIED,0.0024,468789966.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m25_ao63_am25_3,63,1,SATISFIED,0.0023,884033424.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m25_ao63_am25_4,63,1,SATISFIED,0.0023,362089838.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_2_m25_ao63_am25_5,63,1,SATISFIED,0.0025,1043130712.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3,63,1,SATISFIED,0.0023,917204994.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m10_ao63_am10_1,63,1,SATISFIED,0.0023,702200976.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m10_ao63_am10_2,63,1,SATISFIED,0.0023,872343652.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m10_ao63_am10_3,63,1,SATISFIED,0.0023,1452236796.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m10_ao63_am10_4,63,1,SATISFIED,0.0023,1261471548.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m10_ao63_am10_5,63,1,SATISFIED,0.0023,796664428.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m25_ao63_am25_1,63,1,SATISFIED,0.0023,944831384.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m25_ao63_am25_2,63,1,SATISFIED,0.0024,1454406372.0,1
InstanceUpperBound,bom_deep_7_3_15_5_No1_p10_ao63_am15_3_m25_ao63_am25_3,63,1,SATISFIED,0.0024,566993170.0,1
