Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,1,SATISFIED,1.0113,123218390.0,8042.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,2,SATISFIED,1.0102,122870180.0,8023.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,3,SATISFIED,1.0112,123175820.0,8051.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,4,SATISFIED,1.0105,123257890.0,8072.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,5,SATISFIED,1.0108,123131565.0,8052.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,6,SATISFIED,1.015,123296465.0,4147.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,7,SATISFIED,1.0205,123186345.0,4208.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,8,SATISFIED,1.0142,122703335.0,5844.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,9,SATISFIED,1.013,122977195.0,6952.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,10,SATISFIED,1.0158,122934500.0,5728.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,1,SATISFIED,1.0125,90358807.0,8737.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,2,SATISFIED,1.0167,91194975.0,4669.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,3,SATISFIED,1.0187,89841189.0,5359.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,4,SATISFIED,1.0187,90534001.0,8634.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,5,SATISFIED,1.0181,90748283.0,8939.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,6,SATISFIED,1.0214,90764234.0,7516.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,7,SATISFIED,1.0225,91160529.0,4886.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,8,SATISFIED,1.0212,90574222.0,6339.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,9,SATISFIED,1.0196,89803811.0,8407.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,10,SATISFIED,1.0238,99699519.0,4705.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,1,SATISFIED,1.0224,63606037.0,4691.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,2,SATISFIED,1.021,67362516.0,5200.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,3,SATISFIED,1.0214,64511570.0,8379.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,4,SATISFIED,1.0206,72903631.0,9043.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,5,SATISFIED,1.0194,62892996.0,9018.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,6,SATISFIED,1.0176,67360170.0,8871.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,7,SATISFIED,1.0179,64876135.0,8820.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,8,SATISFIED,1.0206,67824468.0,8056.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,9,SATISFIED,1.0219,63532397.0,4705.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,10,SATISFIED,1.0202,65814721.0,5513.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,1,SATISFIED,1.0213,206843633.0,7229.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,2,SATISFIED,1.0207,232661685.0,4976.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,3,SATISFIED,1.0216,223929547.0,6177.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,4,SATISFIED,1.0209,206547028.0,5843.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,5,SATISFIED,1.0201,206529424.0,4829.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,6,SATISFIED,1.0194,216317181.0,7719.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,7,SATISFIED,1.0205,205132688.0,9342.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,8,SATISFIED,1.0198,213043430.0,8923.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,9,SATISFIED,1.0189,222581172.0,8982.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,10,SATISFIED,1.0183,205124974.0,9084.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,1,SATISFIED,1.019,139923644.0,8833.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,2,SATISFIED,1.0199,139620152.0,8715.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,3,SATISFIED,1.0202,139919919.0,8740.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,4,SATISFIED,1.0189,139505788.0,8971.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,5,SATISFIED,1.0202,139755733.0,8844.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,6,SATISFIED,1.0195,139102760.0,8875.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,7,SATISFIED,1.016,139757306.0,8829.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,8,SATISFIED,1.015,139645704.0,4556.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,9,SATISFIED,1.0163,140070676.0,4945.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,10,SATISFIED,1.0197,139760456.0,8105.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,1,SATISFIED,1.0203,129244994.0,8836.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,2,SATISFIED,1.0196,129955579.0,8786.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,3,SATISFIED,1.0191,129795772.0,8530.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,4,SATISFIED,1.0198,127201459.0,8670.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,5,SATISFIED,1.02,127625927.0,8488.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,6,SATISFIED,1.0206,129090994.0,8691.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,7,SATISFIED,1.0237,127839602.0,4524.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,8,SATISFIED,1.0238,129173831.0,4570.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,9,SATISFIED,1.0222,131364655.0,6109.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,10,SATISFIED,1.022,131718787.0,4181.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,1,SATISFIED,1.0221,66402674.0,3588.0
