Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,1,SATISFIED,1.275,122465970.0,4338.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,2,SATISFIED,1.297,122510030.0,4467.69
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,3,SATISFIED,1.2878,122545660.0,4551.44
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,4,SATISFIED,1.287,122589950.0,4587.09
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,5,SATISFIED,1.302,122518305.0,4610.09
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,6,SATISFIED,1.2963,122517910.0,4605.84
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,7,SATISFIED,1.4033,122504305.0,4563.28
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,8,SATISFIED,1.2999,122567775.0,4369.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,9,SATISFIED,1.2873,122593115.0,4515.84
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,10,SATISFIED,1.299,122470140.0,4577.81
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,1,SATISFIED,1.2901,89929965.0,4918.28
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,2,SATISFIED,1.2987,89223937.0,4946.91
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,3,SATISFIED,1.3007,89323163.0,4950.19
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,4,SATISFIED,1.2981,89869838.0,5042.19
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,5,SATISFIED,1.4327,88989425.0,4984.44
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,6,SATISFIED,1.2996,88714601.0,4767.53
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,7,SATISFIED,1.2995,89961830.0,4934.69
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,8,SATISFIED,1.2992,89449193.0,5012.16
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,9,SATISFIED,1.3004,88749083.0,4989.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,10,SATISFIED,1.3147,89143322.0,4952.41
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,1,SATISFIED,1.3103,61996406.0,4747.53
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,2,SATISFIED,1.3053,61588066.0,4816.28
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,3,SATISFIED,1.4044,61493076.0,4830.34
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,4,SATISFIED,1.2932,62349806.0,4648.28
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,5,SATISFIED,1.3023,61957899.0,4778.56
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,6,SATISFIED,1.3028,61320810.0,4869.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,7,SATISFIED,1.3102,62375334.0,4814.62
