Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,1,SATISFIED,20.2914,122562740.0,102457.41
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,2,SATISFIED,18.9149,122509615.0,102755.34
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,3,SATISFIED,18.5986,122511210.0,102423.66
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,4,SATISFIED,17.9113,122507965.0,102811.25
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,5,SATISFIED,17.3967,122508390.0,102349.16
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,6,SATISFIED,17.0517,122496305.0,102897.25
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,7,SATISFIED,18.2448,122520315.0,102782.81
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,8,SATISFIED,18.0093,122463135.0,102445.16
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,9,SATISFIED,18.5806,122529645.0,103594.97
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,10,SATISFIED,17.5671,122543395.0,103079.72
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,1,SATISFIED,22.3325,88258627.0,120275.66
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,2,SATISFIED,29.6085,88281240.0,134749.62
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,3,SATISFIED,33.7902,88927163.0,119144.84
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,4,SATISFIED,19.6757,89128635.0,116328.84
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,5,SATISFIED,24.9542,88184340.0,123062.25
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,6,SATISFIED,23.5141,88576941.0,119002.97
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,7,SATISFIED,36.1492,88550848.0,120395.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,8,SATISFIED,31.8154,88540561.0,121001.03
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,9,SATISFIED,22.7788,88768654.0,115634.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,10,SATISFIED,23.3314,88320848.0,122581.75
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,1,SATISFIED,29.4838,61171001.0,120020.34
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,2,SATISFIED,30.1661,61682577.0,118976.16
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,3,SATISFIED,34.1089,61351275.0,127028.94
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,4,SATISFIED,31.4404,61158645.0,122321.53
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,5,SATISFIED,30.8542,61732136.0,125131.19
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,6,SATISFIED,29.8513,61177075.0,116051.75
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,7,SATISFIED,27.2274,62262756.0,118931.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,8,SATISFIED,29.2953,61746852.0,124785.44
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,9,SATISFIED,24.3892,61892871.0,112061.69
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,10,SATISFIED,26.5621,61779306.0,126267.19
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,1,SATISFIED,23.6942,205129712.0,109599.38
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,2,SATISFIED,19.1292,205128776.0,110226.66
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,3,SATISFIED,17.8337,205125756.0,109126.91
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,4,SATISFIED,20.0398,205139514.0,110161.06
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,5,SATISFIED,21.1056,205137438.0,111201.59
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,6,SATISFIED,22.9976,205125234.0,110607.72
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,7,SATISFIED,27.4646,205128710.0,117849.41
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,8,SATISFIED,18.4629,205124829.0,110883.72
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,9,SATISFIED,19.5284,205121519.0,110942.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,10,SATISFIED,20.6118,205127943.0,112985.44
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,1,UNSATISFIED,18.4674,144406517653.0019,103889.81
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,2,UNSATISFIED,18.1212,143987680975.9938,105418.53
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,3,UNSATISFIED,17.2591,143987284653.0187,103732.56
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,4,UNSATISFIED,21.4508,143514727035.9664,103892.94
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,5,UNSATISFIED,17.451,143825469817.669,104119.88
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,6,UNSATISFIED,15.7111,143359982091.108,105178.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,7,UNSATISFIED,15.7825,143135676071.8135,103569.0
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,8,UNSATISFIED,17.9571,143786962566.0238,103843.22
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,9,UNSATISFIED,18.3201,142661085701.43732,104537.38
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,10,UNSATISFIED,17.0165,143467602955.7658,104370.41
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,1,SATISFIED,26.818,126734982.0,131170.75
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,2,SATISFIED,27.8095,126740832.0,123927.03
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,3,SATISFIED,30.2892,126422274.0,134532.78
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,4,SATISFIED,24.7839,126739240.0,128039.78
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,5,SATISFIED,26.7648,126737532.0,131570.97
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,6,SATISFIED,29.3831,126582879.0,127020.28
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,7,SATISFIED,30.2988,126712293.0,127577.09
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,8,SATISFIED,34.2098,126736222.0,126600.91
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,9,SATISFIED,23.9086,126743394.0,123121.12
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,10,SATISFIED,23.2712,126149450.0,123514.09
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,1,SATISFIED,30.4859,62246956.0,118377.19
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,2,SATISFIED,33.1325,62438771.0,120108.34
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,3,SATISFIED,27.639,61164016.0,117031.94
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,4,SATISFIED,27.2204,62635509.0,117599.09
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,5,SATISFIED,30.6552,62228016.0,120924.72
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,6,SATISFIED,28.5498,61996197.0,120643.38
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,7,SATISFIED,25.4494,65066366.0,112208.53
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,8,SATISFIED,24.4727,62299470.0,115581.22
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,9,SATISFIED,31.6908,62340825.0,119403.56
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_1,63,10,SATISFIED,21.3384,62089451.0,114615.62
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,1,SATISFIED,28.4354,29714627.0,108930.44
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,2,SATISFIED,37.641,30280771.0,117286.81
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,3,SATISFIED,27.493,30282639.0,114890.88
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,4,SATISFIED,28.0336,29612909.0,114582.22
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,5,SATISFIED,31.9305,29704080.0,113033.66
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,6,SATISFIED,35.5012,29062825.0,115891.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,7,SATISFIED,37.1425,28993870.0,115381.59
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,8,SATISFIED,31.3532,29380295.0,117027.47
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,9,SATISFIED,33.7126,29499937.0,121649.81
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_2,63,10,SATISFIED,30.2639,29820420.0,118045.75
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,1,SATISFIED,45.7501,28247802.0,167592.5
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,2,SATISFIED,48.3642,27323536.0,167735.31
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,3,SATISFIED,38.0489,28063528.0,155312.41
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,4,SATISFIED,50.0849,28076062.0,160575.5
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,5,SATISFIED,60.2077,28208037.0,166166.78
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,6,SATISFIED,51.2197,27806946.0,168449.88
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,7,SATISFIED,47.5898,27674782.0,155442.59
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,8,SATISFIED,48.4367,27710316.0,163008.66
SAL-Ei-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m25_ao63_am25_3,63,9,SATISFIED,39.7077,28063832.0,149479.91
