Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,1,SATISFIED,21.0131,122517460.0,103301.72
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,2,SATISFIED,19.5112,122574335.0,103545.72
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,3,SATISFIED,18.659,122600105.0,103425.41
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,4,SATISFIED,19.1892,122557245.0,103249.53
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,5,SATISFIED,19.6176,122504130.0,103994.12
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,6,SATISFIED,19.6707,122497910.0,103979.28
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,7,SATISFIED,21.6196,122499700.0,103495.12
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,8,SATISFIED,19.2786,122605490.0,103877.88
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,9,SATISFIED,18.8392,122546840.0,104021.88
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1,63,10,SATISFIED,19.9076,122537070.0,103760.38
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,1,SATISFIED,25.9014,90069535.0,121161.25
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,2,SATISFIED,34.6793,89280939.0,130354.5
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,3,SATISFIED,34.6558,89880666.0,130388.28
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,4,SATISFIED,26.391,88489496.0,122936.97
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,5,SATISFIED,37.6675,88395433.0,130832.38
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,6,SATISFIED,32.9726,88375563.0,126573.16
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,7,SATISFIED,30.2166,89565574.0,131126.09
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,8,SATISFIED,27.47,89455777.0,128906.31
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,9,SATISFIED,26.7684,88364783.0,126094.94
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_1,63,10,SATISFIED,28.797,89287662.0,121816.22
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,1,SATISFIED,28.9987,61163374.0,118581.03
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,2,SATISFIED,26.3377,62613683.0,118827.16
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,3,SATISFIED,34.2737,60860701.0,131987.03
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,4,SATISFIED,44.6039,60931786.0,134794.03
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,5,SATISFIED,31.4327,61247471.0,127548.47
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,6,SATISFIED,21.3031,61003453.0,117412.62
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,7,SATISFIED,29.5926,62021109.0,124830.28
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,8,SATISFIED,45.238,61053428.0,131757.19
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,9,SATISFIED,30.8398,61755943.0,124503.56
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_2,63,10,SATISFIED,40.5502,62197774.0,124257.84
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,1,SATISFIED,21.2826,205125124.0,114497.19
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,2,SATISFIED,24.2794,205129898.0,113148.62
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,3,SATISFIED,20.5449,205139548.0,109040.0
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,4,SATISFIED,27.1334,205126549.0,124947.09
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,5,SATISFIED,25.8342,205130729.0,116800.69
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,6,SATISFIED,28.7712,205125494.0,121336.84
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,7,SATISFIED,26.4325,205136263.0,127943.25
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,8,SATISFIED,27.7212,205123106.0,118469.03
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,9,SATISFIED,24.7761,205125271.0,119523.94
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_3,63,10,SATISFIED,31.3277,205138085.0,118483.22
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,1,UNSATISFIED,20.4438,145076687019.2839,105479.75
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,2,UNSATISFIED,18.3227,143421220383.06702,103768.09
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,3,UNSATISFIED,16.5466,144696971255.3018,104232.06
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,4,UNSATISFIED,17.5914,143603886920.7518,104806.53
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,5,UNSATISFIED,17.5509,143411683062.4404,104481.78
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,6,UNSATISFIED,18.5496,143721761044.3138,105371.09
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,7,UNSATISFIED,27.3775,143747649883.8163,105338.5
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,8,UNSATISFIED,20.4591,143433710949.0887,104482.84
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,9,UNSATISFIED,19.8048,143860538008.6593,104124.88
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_4,63,10,UNSATISFIED,19.4153,143336816373.9828,105349.69
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,1,SATISFIED,34.2866,126754294.0,140744.22
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,2,SATISFIED,30.6207,126828738.0,130710.19
SAL-Si-LM,bom_deep_7_3_15_5_No1_p10_ao63_am15_1_m10_ao63_am10_5,63,3,SATISFIED,31.4942,125818849.0,132580.81
