Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,bom_tubes_p10_ao11_am18_1,11,1,SATISFIED,0.0003,147973.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,1,SATISFIED,0.0003,237743.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,1,SATISFIED,0.0003,60709.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,1,SATISFIED,0.0003,139083.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,1,SATISFIED,0.0003,290448.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,1,SATISFIED,0.0003,189708.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,1,SATISFIED,0.0003,132937.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,1,SATISFIED,0.0003,379591.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,1,SATISFIED,0.0003,254622.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,1,SATISFIED,0.0003,198810.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_4,11,1,SATISFIED,0.0002,107260.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2,11,1,SATISFIED,0.0003,164406.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m10_ao11_am8_2,11,1,SATISFIED,0.0003,148644.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m10_ao11_am9_1,11,1,SATISFIED,0.0003,148719.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m10_ao11_am9_3,11,1,SATISFIED,0.0002,50115.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m10_ao11_am10_4,11,1,SATISFIED,0.0003,104876.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m10_ao11_am10_5,11,1,SATISFIED,0.0003,193044.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m25_ao11_am17_2,11,1,SATISFIED,0.0003,416754.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m25_ao11_am21_1,11,1,SATISFIED,0.0003,239349.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m25_ao11_am21_3,11,1,SATISFIED,0.0003,277179.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m25_ao11_am23_4,11,1,SATISFIED,0.0003,376265.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_2_m25_ao11_am24_5,11,1,SATISFIED,0.0003,147257.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3,11,1,SATISFIED,0.0003,82807.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m10_ao11_am8_3,11,1,SATISFIED,0.0003,102716.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m10_ao11_am9_1,11,1,SATISFIED,0.0003,146679.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m10_ao11_am9_2,11,1,SATISFIED,0.0003,257332.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m10_ao11_am9_4,11,1,SATISFIED,0.0003,365433.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m10_ao11_am10_5,11,1,SATISFIED,0.0003,116723.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m25_ao11_am19_2,11,1,SATISFIED,0.0003,398775.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m25_ao11_am21_1,11,1,SATISFIED,0.0003,237309.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m25_ao11_am21_3,11,1,SATISFIED,0.0003,273933.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m25_ao11_am23_4,11,1,SATISFIED,0.0003,360153.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_3_m25_ao11_am24_5,11,1,SATISFIED,0.0003,143237.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_4,11,1,SATISFIED,0.0004,64535.0,1
InstanceUpperBound,bom_tubes_p10_ao11_am18_4_m10_ao11_am8_3,11,1,SATISFIED,0.0003,118960.0,1
