Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,1,SATISFIED,1.1522,38711.0,10677.88
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,2,SATISFIED,1.167,39241.0,10622.22
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,3,SATISFIED,1.1287,38142.0,10592.94
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,4,SATISFIED,1.1753,39662.0,10502.53
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,5,SATISFIED,1.176,40220.0,10659.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,6,SATISFIED,1.1617,37493.0,10853.5
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,7,SATISFIED,1.1595,39953.0,10860.91
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,8,SATISFIED,1.1584,40062.0,11012.34
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,9,SATISFIED,1.1703,39144.0,10592.47
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,10,SATISFIED,1.1686,40653.0,10614.53
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,1,SATISFIED,1.1783,115111.0,8658.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,2,SATISFIED,1.1675,115135.0,9134.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,3,SATISFIED,1.1627,115106.0,9462.16
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,4,SATISFIED,1.1539,115105.0,9576.47
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,5,SATISFIED,1.1544,115182.0,9393.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,6,SATISFIED,1.1592,115175.0,9472.59
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,7,SATISFIED,1.1657,115167.0,9390.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,8,SATISFIED,1.159,115186.0,9230.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,9,SATISFIED,1.2234,115151.0,9371.97
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,10,SATISFIED,1.1598,115058.0,8845.88
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,1,SATISFIED,1.1657,34959.0,9856.06
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,2,SATISFIED,1.1549,34933.0,10371.12
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,3,SATISFIED,1.1623,34946.0,11012.25
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,4,SATISFIED,1.1578,34933.0,11005.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,5,SATISFIED,1.157,34933.0,11264.56
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,6,SATISFIED,1.1618,34946.0,11181.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,7,SATISFIED,1.1602,34933.0,11444.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,8,SATISFIED,1.1541,34933.0,11407.12
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,9,SATISFIED,1.1604,34933.0,11286.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,10,SATISFIED,1.1623,34933.0,11056.91
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,1,SATISFIED,1.1644,22366.0,8809.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,2,SATISFIED,1.1699,22366.0,8846.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,3,SATISFIED,1.1886,22366.0,8316.09
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,4,SATISFIED,1.1305,22366.0,8349.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,5,SATISFIED,1.1563,22393.0,8647.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,6,SATISFIED,1.1521,22368.0,8511.41
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,7,SATISFIED,1.2066,22366.0,8489.09
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,8,SATISFIED,1.2082,22366.0,8476.19
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,9,SATISFIED,1.1781,22368.0,8753.53
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,10,SATISFIED,1.1843,22366.0,8777.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,1,SATISFIED,1.1791,122731.0,10922.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,2,SATISFIED,1.1726,122731.0,11233.41
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,3,SATISFIED,1.196,122731.0,11341.25
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,4,SATISFIED,1.1905,122731.0,11011.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,5,SATISFIED,1.1829,122731.0,10639.06
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,6,SATISFIED,1.1819,122731.0,10817.53
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,7,SATISFIED,1.2912,122731.0,10473.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,8,SATISFIED,1.1756,122731.0,9713.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,9,SATISFIED,1.1559,122731.0,10600.91
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,10,SATISFIED,1.1599,122731.0,11066.72
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,1,SATISFIED,1.1602,23903.0,9285.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,2,SATISFIED,1.166,24053.0,9081.47
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,3,SATISFIED,1.1598,24000.0,8806.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,4,SATISFIED,1.1618,24057.0,8652.56
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,5,SATISFIED,1.1635,23895.0,8873.94
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,6,SATISFIED,1.1633,24131.0,9149.44
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,7,SATISFIED,1.1586,24075.0,9075.06
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,8,SATISFIED,1.1615,24111.0,8326.31
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,9,SATISFIED,1.1606,24057.0,8075.28
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_5,11,10,SATISFIED,1.1624,23969.0,8636.31
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,1,SATISFIED,1.1634,16754.0,6958.34
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,2,SATISFIED,1.1665,16655.0,6795.72
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,3,SATISFIED,1.1529,16874.0,6947.44
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,4,SATISFIED,1.1649,16864.0,7531.72
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,5,SATISFIED,1.1663,16758.0,7814.5
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,6,SATISFIED,1.1541,16891.0,7792.41
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,7,SATISFIED,1.2145,16725.0,7908.06
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,8,SATISFIED,1.1582,16766.0,7503.19
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,9,SATISFIED,1.1652,16726.0,7732.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am19_2,11,10,SATISFIED,1.167,16870.0,7801.97
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,1,SATISFIED,1.16,54688.0,7644.03
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,2,SATISFIED,1.1603,52220.0,7698.09
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,3,SATISFIED,1.175,54576.0,8094.69
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,4,SATISFIED,1.1789,51368.0,8023.12
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,5,SATISFIED,1.1665,53585.0,7690.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,6,SATISFIED,1.1574,53774.0,7556.34
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,7,SATISFIED,1.1642,55897.0,7451.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,8,SATISFIED,1.1605,53562.0,7257.41
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,9,SATISFIED,1.1587,54890.0,7274.56
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_3,11,10,SATISFIED,1.1586,55500.0,7293.91
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,1,SATISFIED,1.1638,30906.0,7438.47
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,2,SATISFIED,1.166,31080.0,7418.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,3,SATISFIED,1.274,30939.0,7531.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,4,SATISFIED,1.1643,30915.0,6623.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,5,SATISFIED,1.1605,31046.0,7179.25
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,6,SATISFIED,1.154,31523.0,7575.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,7,SATISFIED,1.1568,30811.0,7542.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,8,SATISFIED,1.1486,30988.0,7503.97
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,9,SATISFIED,1.1549,31580.0,7381.06
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am21_5,11,10,SATISFIED,1.1604,31530.0,7329.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,1,SATISFIED,1.1596,50087.0,7556.44
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,2,SATISFIED,1.1479,50173.0,7828.25
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,3,SATISFIED,1.1557,50330.0,7809.31
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,4,SATISFIED,1.1556,51149.0,7967.81
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,5,SATISFIED,1.1585,50197.0,7950.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,6,SATISFIED,1.158,50496.0,7930.56
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,7,SATISFIED,1.1541,50602.0,7942.97
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m25_ao11_am22_1,11,8,SATISFIED,1.1561,50327.0,7746.16
