Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,1,SATISFIED,5.0147,44751.0,66354.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,2,SATISFIED,5.0137,45446.0,53510.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,3,SATISFIED,5.0163,46213.0,65535.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,4,SATISFIED,5.0141,40931.0,65830.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,5,SATISFIED,5.014,45882.0,62999.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,6,SATISFIED,5.0137,45072.0,65625.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,7,SATISFIED,5.0132,48431.0,53429.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,8,SATISFIED,5.0109,44321.0,52256.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,9,SATISFIED,5.0127,40762.0,52491.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,10,SATISFIED,5.0151,44326.0,52150.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,1,SATISFIED,5.0175,115128.0,37315.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,2,SATISFIED,5.0156,115223.0,47683.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,3,SATISFIED,5.0145,115359.0,32040.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,4,SATISFIED,5.0139,115377.0,56109.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,5,SATISFIED,5.0155,115499.0,46737.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,6,SATISFIED,5.0141,115416.0,36357.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,7,SATISFIED,5.013,115303.0,36140.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,8,SATISFIED,5.0135,115358.0,50017.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,9,SATISFIED,5.0146,115247.0,56354.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,10,SATISFIED,5.0147,115757.0,52952.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,1,SATISFIED,5.0192,35162.0,34645.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,2,SATISFIED,5.0204,34999.0,50816.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,3,SATISFIED,5.0217,34946.0,34094.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,4,SATISFIED,5.0166,34972.0,50852.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,5,SATISFIED,5.0183,35154.0,31953.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,6,SATISFIED,5.0175,35138.0,51523.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,7,SATISFIED,5.015,35225.0,50659.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,8,SATISFIED,5.0156,34933.0,50968.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,9,SATISFIED,5.0163,35042.0,36455.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,10,SATISFIED,5.0166,34962.0,49850.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,1,SATISFIED,5.0166,22717.0,41811.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,2,SATISFIED,5.016,22648.0,40493.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,3,SATISFIED,5.0158,22474.0,37585.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,4,SATISFIED,5.0141,23266.0,41376.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,5,SATISFIED,5.0157,22690.0,40405.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,6,SATISFIED,5.0181,22420.0,40325.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,7,SATISFIED,5.0145,22609.0,50307.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,8,SATISFIED,5.014,22663.0,40893.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,9,SATISFIED,5.0173,22420.0,48754.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,10,SATISFIED,5.021,22663.0,40641.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,1,SATISFIED,5.0167,122731.0,62617.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,2,SATISFIED,5.0166,122731.0,62927.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,3,SATISFIED,5.0219,122731.0,37767.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,4,SATISFIED,5.0185,122731.0,61651.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,5,SATISFIED,5.0151,122731.0,55622.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,6,SATISFIED,5.0129,122731.0,63108.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,7,SATISFIED,5.0158,122731.0,62654.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,8,SATISFIED,5.0208,122731.0,40200.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,9,SATISFIED,5.0182,122731.0,50830.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,10,SATISFIED,5.013,122731.0,62886.0
