Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,1,SATISFIED,12.4408,38973.0,101631.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,2,SATISFIED,12.4249,37359.0,101363.09
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,3,SATISFIED,11.1365,40533.0,101639.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,4,SATISFIED,12.4077,40663.0,101386.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,5,SATISFIED,11.6004,37969.0,101359.19
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,6,SATISFIED,11.7569,37391.0,101546.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,7,SATISFIED,11.7239,36674.0,101494.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,8,SATISFIED,12.5569,37722.0,102019.5
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,9,SATISFIED,11.5392,40091.0,101456.72
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1,11,10,SATISFIED,12.1702,40373.0,101380.72
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,1,SATISFIED,14.2854,115075.0,101021.75
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,2,SATISFIED,14.025,115166.0,100591.31
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,3,SATISFIED,12.7731,115107.0,100991.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,4,SATISFIED,14.0359,115141.0,100687.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,5,SATISFIED,12.7351,115157.0,100882.25
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,6,SATISFIED,12.546,115091.0,100684.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,7,SATISFIED,13.4887,115084.0,100640.78
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,8,SATISFIED,13.8678,115272.0,101009.84
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,9,SATISFIED,13.546,115170.0,100765.16
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,10,SATISFIED,13.153,115101.0,100792.56
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,1,SATISFIED,10.9646,34933.0,100760.03
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,2,SATISFIED,11.7838,34933.0,100800.34
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,3,SATISFIED,12.8342,34933.0,100816.28
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,4,SATISFIED,10.9947,34933.0,100736.22
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,5,SATISFIED,11.4511,34933.0,101004.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,6,SATISFIED,12.5097,34933.0,100728.12
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,7,SATISFIED,13.2655,34933.0,100747.47
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,8,SATISFIED,14.1917,34933.0,100931.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,9,SATISFIED,12.3222,34933.0,100653.94
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,10,SATISFIED,13.616,34946.0,100912.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,1,SATISFIED,15.0471,22366.0,100476.44
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,2,SATISFIED,14.6922,22366.0,100396.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,3,SATISFIED,16.1934,22366.0,100343.0
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,4,SATISFIED,14.1183,22408.0,100414.69
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,5,SATISFIED,14.3613,22366.0,100443.09
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,6,SATISFIED,13.6324,22393.0,100463.22
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,7,SATISFIED,14.9171,22368.0,100383.16
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,8,SATISFIED,14.8539,22368.0,100356.59
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,9,SATISFIED,14.125,22366.0,100434.44
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am9_4,11,10,SATISFIED,12.8744,22368.0,100380.62
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,1,SATISFIED,11.0477,122731.0,100058.66
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,2,SATISFIED,12.2234,122731.0,100090.41
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,3,SATISFIED,11.6673,122731.0,100127.03
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,4,SATISFIED,12.4285,122731.0,100107.38
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,5,SATISFIED,10.9325,122731.0,100083.19
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,6,SATISFIED,11.3665,122731.0,100098.03
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,7,SATISFIED,11.8912,122731.0,100068.97
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,8,SATISFIED,10.9313,122731.0,100081.31
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,9,SATISFIED,12.4218,122731.0,100076.22
SAL-Ei-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am10_2,11,10,SATISFIED,11.6071,122731.0,100094.56
