Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,1,SATISFIED,12.8662,39998.0,101736.03
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,2,SATISFIED,12.5966,37309.0,101576.22
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,3,SATISFIED,12.4836,38885.0,101597.0
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,4,SATISFIED,12.5041,37487.0,101498.94
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,5,SATISFIED,13.1695,37132.0,101870.69
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,6,SATISFIED,11.6214,39938.0,101623.75
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,7,SATISFIED,12.1788,39075.0,101880.0
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,8,SATISFIED,12.1169,40311.0,101859.38
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,9,SATISFIED,11.9258,40155.0,101755.97
SAL-Si-LM,bom_tubes_p10_ao11_am18_1,11,10,SATISFIED,12.208,39884.0,101505.12
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,1,SATISFIED,16.0047,115073.0,100749.91
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,2,SATISFIED,12.3838,115174.0,100772.78
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,3,SATISFIED,12.9454,115207.0,100859.88
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,4,SATISFIED,14.9978,115084.0,100948.12
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,5,SATISFIED,14.4993,115228.0,100805.09
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,6,SATISFIED,13.4483,115161.0,101005.56
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,7,SATISFIED,13.5865,115092.0,100859.75
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,8,SATISFIED,13.642,115078.0,101152.0
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,9,SATISFIED,15.5759,115080.0,100776.56
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_1,11,10,SATISFIED,13.5193,115218.0,100857.94
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,1,SATISFIED,12.062,34933.0,100787.06
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,2,SATISFIED,13.2201,34946.0,100691.72
SAL-Si-LM,bom_tubes_p10_ao11_am18_1_m10_ao11_am8_3,11,3,SATISFIED,12.5176,34933.0,100887.97
