Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
InstanceUpperBound,bom_wide_2_7_20_5_No1,42,1,SATISFIED,0.0008,193460.0,1
InstanceUpperBound,bom_wide_2_7_20_5_No2,26,1,SATISFIED,0.0007,151404.0,1
InstanceUpperBound,bom_wide_2_7_20_10_No1,42,1,SATISFIED,0.0015,150400.0,1
InstanceUpperBound,bom_wide_2_7_20_10_No2,26,1,SATISFIED,0.0009,166080.0,1
InstanceUpperBound,bom_wide_2_9_10_5_No1,46,1,SATISFIED,0.0019,243820.0,1
InstanceUpperBound,bom_wide_2_9_10_5_No2,40,1,SATISFIED,0.0015,187309.0,1
InstanceUpperBound,bom_wide_2_10_10_5_No1,41,1,SATISFIED,0.0007,1253800.0,1
InstanceUpperBound,bom_wide_2_10_10_5_No2,41,1,SATISFIED,0.0007,1330800.0,1
InstanceUpperBound,bom_wide_2_10_30_15_No1,41,1,SATISFIED,0.0008,1184800.0,1
InstanceUpperBound,bom_wide_2_10_30_15_No2,41,1,SATISFIED,0.0008,1192400.0,1
InstanceUpperBound,bom_wide_2_11_13_5_No1,133,1,SATISFIED,0.0042,609808.0,1
InstanceUpperBound,bom_wide_2_11_13_5_No2,36,1,SATISFIED,0.0006,179122.0,1
InstanceUpperBound,bom_wide_3_5_16_4_No1,38,1,SATISFIED,0.0007,90186.0,1
InstanceUpperBound,bom_wide_3_5_16_4_No2,27,1,SATISFIED,0.0004,154560.0,1
InstanceUpperBound,bom_wide_3_7_10_5_No1,112,1,SATISFIED,0.0032,717600.0,1
InstanceUpperBound,bom_wide_3_7_15_5_No1,100,1,SATISFIED,0.0027,502940.0,1
InstanceUpperBound,bom_wide_3_8_15_5_No1,200,1,SATISFIED,0.0085,1543480.0,1
InstanceUpperBound,bom_wide_3_8_15_5_No2,83,1,SATISFIED,0.0021,2140840.0,1
InstanceUpperBound,bom_wide_3_9_15_5_No1,135,1,SATISFIED,0.0044,1097220.0,1
InstanceUpperBound,bom_wide_3_9_15_5_No2,122,1,SATISFIED,0.0037,946180.0,1
InstanceUpperBound,bom_wide_3_10_10_5_No1,114,1,SATISFIED,0.0033,5505800.0,1
InstanceUpperBound,bom_wide_3_10_10_5_No2,114,1,SATISFIED,0.0033,5563100.0,1
InstanceUpperBound,bom_wide_3_10_30_15_No1,108,1,SATISFIED,0.0032,6403800.0,1
InstanceUpperBound,bom_wide_3_10_30_15_No2,108,1,SATISFIED,0.0033,6295500.0,1
InstanceUpperBound,bom_wide_4_6_16_4_No1,65,1,SATISFIED,0.0014,432800.0,1
InstanceUpperBound,bom_wide_4_6_16_4_No2,111,1,SATISFIED,0.0031,3032668.0,1
InstanceUpperBound,bom_wide_4_6_40_15_No1,310,1,SATISFIED,0.0346,24136000.0,1
InstanceUpperBound,bom_wide_4_6_40_15_No2,267,1,SATISFIED,0.0266,18098900.0,1
InstanceUpperBound,bom_wide_4_7_12_5_No1,351,1,SATISFIED,0.0423,3595720.0,1
InstanceUpperBound,bom_wide_4_7_12_5_No2,185,1,SATISFIED,0.0136,12868865.0,1
InstanceUpperBound,bom_wide_4_8_10_5_No1,270,1,SATISFIED,0.0261,1432760.0,1
InstanceUpperBound,bom_wide_4_8_10_5_No2,270,1,SATISFIED,0.0259,55598985.0,1
InstanceUpperBound,bom_wide_4_10_10_5_No1,161,1,SATISFIED,0.0104,6538600.0,1
InstanceUpperBound,bom_wide_4_10_10_5_No2,161,1,SATISFIED,0.0104,6303200.0,1
