Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,1,SATISFIED,1.0176,18390.0,6167.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,2,SATISFIED,1.0148,17730.0,8538.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,3,SATISFIED,1.0148,17390.0,8473.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,4,SATISFIED,1.016,17685.0,8498.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,5,SATISFIED,1.0183,17500.0,8521.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,6,SATISFIED,1.0166,17610.0,8369.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,7,SATISFIED,1.0156,18435.0,8467.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,8,SATISFIED,1.0189,21095.0,4574.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,9,SATISFIED,1.02,18500.0,4866.0
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,10,SATISFIED,1.0195,17575.0,7756.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,1,SATISFIED,1.0166,17416.0,8968.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,2,SATISFIED,1.0157,17284.0,8733.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,3,SATISFIED,1.0157,17416.0,8780.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,4,SATISFIED,1.0164,17284.0,8840.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,5,SATISFIED,1.0152,17284.0,8771.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,6,SATISFIED,1.0154,17284.0,8757.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,7,SATISFIED,1.0178,17284.0,4971.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,8,SATISFIED,1.0161,17284.0,4949.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,9,SATISFIED,1.0144,17416.0,8063.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,10,SATISFIED,1.0147,17284.0,8671.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,1,SATISFIED,1.0181,15280.0,7297.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,2,SATISFIED,1.0165,14305.0,7083.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,3,SATISFIED,1.0173,13790.0,7488.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,4,SATISFIED,1.0179,14770.0,7490.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,5,SATISFIED,1.0182,15070.0,7426.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,6,SATISFIED,1.0177,15110.0,7214.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,7,SATISFIED,1.0177,14720.0,7415.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,8,SATISFIED,1.0176,14685.0,7187.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,9,SATISFIED,1.0184,15040.0,7488.0
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,10,SATISFIED,1.0165,14910.0,7486.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,1,SATISFIED,1.0166,14792.0,8262.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,2,SATISFIED,1.0155,14792.0,8083.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,3,SATISFIED,1.0156,14792.0,8252.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,4,SATISFIED,1.0154,14792.0,8080.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,5,SATISFIED,1.0151,14792.0,8293.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,6,SATISFIED,1.0135,14792.0,8345.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,7,SATISFIED,1.013,14792.0,8307.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,8,SATISFIED,1.0142,14792.0,8282.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,9,SATISFIED,1.0201,14792.0,8293.0
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,10,SATISFIED,1.0157,15836.0,4221.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,1,SATISFIED,1.0192,24662.0,4859.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,2,SATISFIED,1.0211,25755.0,4477.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,3,SATISFIED,1.0204,26294.0,4717.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,4,SATISFIED,1.018,24718.0,5982.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,5,SATISFIED,1.0163,23030.0,8878.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,6,SATISFIED,1.0171,22870.0,8809.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,7,SATISFIED,1.0163,24025.0,8877.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,8,SATISFIED,1.0158,22670.0,8822.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,9,SATISFIED,1.0194,25038.0,4463.0
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,10,SATISFIED,1.0186,24318.0,4625.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,1,SATISFIED,1.0191,13870.0,5940.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,2,SATISFIED,1.0168,13520.0,8824.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,3,SATISFIED,1.0153,13220.0,8873.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,4,SATISFIED,1.0195,14190.0,4481.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,5,SATISFIED,1.0187,14870.0,4671.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,6,SATISFIED,1.0197,14035.0,4450.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,7,SATISFIED,1.0207,13730.0,4558.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,8,SATISFIED,1.0169,13868.0,5651.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,9,SATISFIED,1.0159,13320.0,8530.0
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,10,SATISFIED,1.0171,13400.0,8630.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,1,SATISFIED,1.017,145600.0,8438.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,2,SATISFIED,1.0156,146450.0,8528.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,3,SATISFIED,1.016,143951.0,8678.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,4,SATISFIED,1.0198,143720.0,8363.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,5,SATISFIED,1.0198,149414.0,4616.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,6,SATISFIED,1.0186,142801.0,6068.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,7,SATISFIED,1.0184,142400.0,8285.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,8,SATISFIED,1.0173,143650.0,8206.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,9,SATISFIED,1.0175,148115.0,7151.0
SAL-Ei-LM,bom_wide_2_10_10_5_No1,41,10,SATISFIED,1.0158,142730.0,4563.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,1,SATISFIED,1.0187,156535.0,4499.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,2,SATISFIED,1.0156,145330.0,4460.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,3,SATISFIED,1.0137,142423.0,4986.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,4,SATISFIED,1.0125,142758.0,8125.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,5,SATISFIED,1.013,141939.0,8639.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,6,SATISFIED,1.0139,141820.0,8428.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,7,SATISFIED,1.0154,151198.0,8478.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,8,SATISFIED,1.0156,165031.0,8479.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,9,SATISFIED,1.0152,167936.0,8521.0
SAL-Ei-LM,bom_wide_2_10_10_5_No2,41,10,SATISFIED,1.0149,144586.0,8434.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,1,SATISFIED,1.0196,63777.0,6986.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,2,SATISFIED,1.0188,64278.0,6988.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,3,SATISFIED,1.0171,65274.0,6859.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,4,SATISFIED,1.0211,69460.0,3659.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,5,SATISFIED,1.0185,66842.0,4080.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,6,SATISFIED,1.0173,66629.0,6652.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,7,SATISFIED,1.0178,67995.0,6996.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,8,SATISFIED,1.0178,67996.0,7018.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,9,SATISFIED,1.0174,65727.0,7097.0
SAL-Ei-LM,bom_wide_2_10_30_15_No1,41,10,SATISFIED,1.0167,63964.0,7065.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,1,SATISFIED,1.0176,64107.0,7070.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,2,SATISFIED,1.0161,64089.0,7281.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,3,SATISFIED,1.016,63336.0,7202.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,4,SATISFIED,1.017,61816.0,7011.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,5,SATISFIED,1.0172,62527.0,6907.0
SAL-Ei-LM,bom_wide_2_10_30_15_No2,41,6,SATISFIED,1.0171,65182.0,7034.0
