Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,1,SATISFIED,5.2771,17195.0,30187.72
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,2,SATISFIED,5.4353,17195.0,33107.75
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,3,SATISFIED,5.2885,17195.0,31242.16
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,4,SATISFIED,5.2178,17195.0,34012.69
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,5,SATISFIED,5.2315,17260.0,34084.75
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,6,SATISFIED,5.3178,17195.0,35575.69
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,7,SATISFIED,5.2866,17195.0,35913.25
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,8,SATISFIED,5.3495,17195.0,34346.03
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,9,SATISFIED,5.3038,17260.0,35438.81
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,10,SATISFIED,5.3098,17260.0,36996.41
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,1,SATISFIED,5.2668,17284.0,39964.41
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,2,SATISFIED,5.2586,17284.0,39293.41
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,3,SATISFIED,5.2293,17284.0,38300.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,4,SATISFIED,5.2438,17284.0,37393.97
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,5,SATISFIED,5.2565,17284.0,37052.56
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,6,SATISFIED,5.2404,17284.0,37281.5
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,7,SATISFIED,5.2518,17284.0,35792.09
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,8,SATISFIED,5.2616,17284.0,38785.69
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,9,SATISFIED,5.2526,17284.0,39222.16
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,10,SATISFIED,5.2629,17284.0,37436.25
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,1,SATISFIED,5.2916,12000.0,29570.34
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,2,SATISFIED,5.1996,12010.0,30562.94
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,3,SATISFIED,5.3903,12175.0,30020.88
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,4,SATISFIED,5.1773,12130.0,31333.41
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,5,SATISFIED,5.2804,12180.0,30642.53
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,6,SATISFIED,5.2766,12120.0,31136.69
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,7,SATISFIED,5.2819,12120.0,30879.41
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,8,SATISFIED,5.2244,12175.0,29481.97
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,9,SATISFIED,5.2916,12220.0,30428.97
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,10,SATISFIED,5.2897,12155.0,30701.06
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,1,SATISFIED,5.2392,14792.0,35221.34
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,2,SATISFIED,5.2323,14792.0,36066.88
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,3,SATISFIED,5.3158,14792.0,36129.25
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,4,SATISFIED,5.2381,14792.0,35939.19
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,5,SATISFIED,5.2434,14792.0,36011.62
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,6,SATISFIED,5.248,14792.0,36375.97
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,7,SATISFIED,5.2387,14792.0,36623.12
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,8,SATISFIED,5.2345,14792.0,36670.66
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,9,SATISFIED,5.2351,14792.0,37140.69
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,10,SATISFIED,5.237,14792.0,36390.66
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,1,SATISFIED,5.2959,21618.0,37963.81
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,2,SATISFIED,5.2881,21762.0,38643.94
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,3,SATISFIED,5.1843,21634.0,39223.06
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,4,SATISFIED,5.2922,21531.0,39043.75
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,5,SATISFIED,5.3339,21735.0,37437.22
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,6,SATISFIED,5.3463,21518.0,37542.81
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,7,SATISFIED,5.3081,21762.0,38181.56
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,8,SATISFIED,5.3392,21618.0,36527.5
