Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,1,SATISFIED,21.9418,17195.0,115393.91
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,2,SATISFIED,26.9938,17195.0,117527.84
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,3,SATISFIED,24.154,17195.0,114835.38
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,4,SATISFIED,20.0745,17195.0,112979.44
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,5,SATISFIED,20.0461,17195.0,116787.34
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,6,SATISFIED,29.8513,17195.0,123889.91
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,7,SATISFIED,25.265,17195.0,117780.28
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,8,SATISFIED,26.9166,17195.0,114962.53
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,9,SATISFIED,22.4545,17195.0,114339.78
SAL-Ei-LM,bom_wide_2_7_20_5_No1,42,10,SATISFIED,23.4728,17195.0,114089.56
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,1,SATISFIED,17.749,17284.0,101564.0
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,2,SATISFIED,14.8918,17284.0,101333.25
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,3,SATISFIED,17.4191,17284.0,101501.81
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,4,SATISFIED,15.9194,17284.0,101351.22
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,5,SATISFIED,16.1472,17284.0,101320.59
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,6,SATISFIED,15.3341,17284.0,101451.84
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,7,SATISFIED,16.0914,17284.0,101333.34
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,8,SATISFIED,16.319,17284.0,101488.06
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,9,SATISFIED,17.5752,17284.0,101431.91
SAL-Ei-LM,bom_wide_2_7_20_5_No2,26,10,SATISFIED,18.7911,17284.0,101588.03
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,1,SATISFIED,57.1138,11770.0,198109.88
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,2,SATISFIED,57.4372,11730.0,213864.62
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,3,SATISFIED,60.2168,11780.0,192435.41
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,4,SATISFIED,60.1156,11795.0,197941.62
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,5,SATISFIED,60.2217,11795.0,202687.94
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,6,SATISFIED,60.2011,11770.0,206827.31
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,7,SATISFIED,60.1937,11690.0,210481.53
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,8,SATISFIED,59.6775,11720.0,218760.78
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,9,SATISFIED,60.2044,11805.0,203166.5
SAL-Ei-LM,bom_wide_2_7_20_10_No1,42,10,SATISFIED,57.873,11830.0,206105.12
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,1,SATISFIED,17.3369,14792.0,103390.22
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,2,SATISFIED,18.7395,14792.0,103045.34
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,3,SATISFIED,15.981,14792.0,103449.44
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,4,SATISFIED,18.2472,14792.0,103213.44
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,5,SATISFIED,17.922,14792.0,103470.25
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,6,SATISFIED,19.6668,14792.0,103612.72
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,7,SATISFIED,17.0616,14792.0,103433.66
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,8,SATISFIED,17.1793,14792.0,103465.41
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,9,SATISFIED,17.3013,14792.0,103303.56
SAL-Ei-LM,bom_wide_2_7_20_10_No2,26,10,SATISFIED,17.1712,14792.0,103671.38
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,1,SATISFIED,30.5779,21410.0,144045.62
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,2,SATISFIED,30.8245,21510.0,142619.66
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,3,SATISFIED,28.6064,21596.0,146706.16
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,4,SATISFIED,36.1652,21526.0,150699.81
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,5,SATISFIED,34.2938,21618.0,149154.69
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,6,SATISFIED,33.1836,21518.0,146040.59
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,7,SATISFIED,36.2607,21618.0,153466.75
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,8,SATISFIED,35.2618,21692.0,154177.72
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,9,SATISFIED,32.1135,21518.0,151975.5
SAL-Ei-LM,bom_wide_2_9_10_5_No1,46,10,SATISFIED,35.6487,21446.0,154276.88
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,1,SATISFIED,34.5181,12380.0,154717.78
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,2,SATISFIED,28.3771,12460.0,151206.41
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,3,SATISFIED,34.6375,12477.0,156501.69
SAL-Ei-LM,bom_wide_2_9_10_5_No2,40,4,SATISFIED,35.8998,12480.0,155200.84
