Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,1,SATISFIED,28.8535,17195.0,119398.78
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,2,SATISFIED,22.923,17260.0,116242.69
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,3,SATISFIED,23.1448,17195.0,117989.59
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,4,SATISFIED,28.9238,17195.0,120993.09
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,5,SATISFIED,30.0023,17195.0,119271.47
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,6,SATISFIED,25.2122,17195.0,118086.53
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,7,SATISFIED,31.9909,17195.0,121954.81
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,8,SATISFIED,33.743,17195.0,123921.0
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,9,SATISFIED,30.0911,17195.0,120099.75
SAL-Si-LM,bom_wide_2_7_20_5_No1,42,10,SATISFIED,26.715,17195.0,119319.09
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,1,SATISFIED,17.4382,17284.0,101462.91
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,2,SATISFIED,17.8884,17284.0,101563.72
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,3,SATISFIED,17.5914,17284.0,101632.62
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,4,SATISFIED,19.081,17284.0,101791.75
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,5,SATISFIED,16.8668,17284.0,101302.78
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,6,SATISFIED,16.6172,17284.0,101524.53
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,7,SATISFIED,17.3948,17284.0,101813.69
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,8,SATISFIED,18.3343,17284.0,101576.5
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,9,SATISFIED,18.4023,17284.0,101756.31
SAL-Si-LM,bom_wide_2_7_20_5_No2,26,10,SATISFIED,19.8371,17284.0,101614.59
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,1,SATISFIED,60.175,11840.0,206752.66
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,2,SATISFIED,60.2802,11830.0,201983.88
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,3,SATISFIED,60.2449,11750.0,224176.03
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,4,SATISFIED,60.2669,11830.0,214562.66
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,5,SATISFIED,60.2023,11810.0,233057.28
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,6,SATISFIED,56.6091,11800.0,214989.5
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,7,SATISFIED,59.3893,11780.0,204758.25
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,8,SATISFIED,60.3168,11665.0,222038.47
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,9,SATISFIED,58.7041,11830.0,217362.97
SAL-Si-LM,bom_wide_2_7_20_10_No1,42,10,SATISFIED,60.2289,11830.0,198863.38
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,1,SATISFIED,18.6145,14792.0,103613.03
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,2,SATISFIED,18.0984,14792.0,103878.31
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,3,SATISFIED,19.1901,14792.0,103606.5
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,4,SATISFIED,18.0546,14792.0,104061.19
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,5,SATISFIED,18.5458,14792.0,103743.88
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,6,SATISFIED,20.9345,14792.0,104125.0
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,7,SATISFIED,19.1093,14792.0,103762.69
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,8,SATISFIED,18.2959,14792.0,104429.38
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,9,SATISFIED,18.701,14792.0,103684.53
SAL-Si-LM,bom_wide_2_7_20_10_No2,26,10,SATISFIED,20.3608,14792.0,103506.28
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,1,SATISFIED,33.5212,21400.0,153329.41
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,2,SATISFIED,56.7789,21369.0,180204.59
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,3,SATISFIED,34.7165,21618.0,157118.47
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,4,SATISFIED,38.0214,21457.0,160110.03
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,5,SATISFIED,44.1005,21618.0,172224.31
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,6,SATISFIED,39.0711,21618.0,155524.12
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,7,SATISFIED,41.8883,21446.0,164701.72
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,8,SATISFIED,35.3908,21494.0,171294.09
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,9,SATISFIED,33.6043,21618.0,154259.19
SAL-Si-LM,bom_wide_2_9_10_5_No1,46,10,SATISFIED,41.0561,21401.0,169766.88
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,1,SATISFIED,42.8058,12320.0,156655.44
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,2,SATISFIED,43.1967,12120.0,170641.09
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,3,SATISFIED,34.8129,12480.0,157905.81
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,4,SATISFIED,44.4365,12270.0,158932.03
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,5,SATISFIED,33.6745,12462.0,152699.12
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,6,SATISFIED,43.8569,12480.0,165431.12
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,7,SATISFIED,41.0334,12390.0,164360.19
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,8,SATISFIED,32.8731,12470.0,163478.0
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,9,SATISFIED,36.8532,12350.0,164044.78
SAL-Si-LM,bom_wide_2_9_10_5_No2,40,10,SATISFIED,49.7817,12424.0,175782.31
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,1,SATISFIED,35.7619,137790.0,158211.72
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,2,SATISFIED,34.5908,138262.0,155213.12
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,3,SATISFIED,40.2097,138253.0,171725.75
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,4,SATISFIED,40.9649,138156.0,156379.47
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,5,SATISFIED,54.1208,138419.0,163291.97
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,6,SATISFIED,34.4309,138266.0,165975.62
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,7,SATISFIED,45.2151,138774.0,159922.09
SAL-Si-LM,bom_wide_2_10_10_5_No1,41,8,SATISFIED,44.9487,138596.0,169788.94
